# HITEMP pruned exponential-sum Planck-mean surface v1
# T_grid 300.0 2500.0 50.0
# columns T_gas T_rad kappaP_cm2_per_molecule d_dTgas d_dTrad d2_dTgas_dTrad
300.0 300.0 1.07559525426014460e-20 9.64981217769659268e-26 1.30362426120501988e-23 3.05114693378130147e-27
300.0 350.0 1.19345729365408695e-20 2.63808950769539692e-25 3.53794279703754616e-23 3.52562846387822398e-27
300.0 400.0 1.42861694112035181e-20 4.37447196328713320e-25 5.76017016106566199e-23 3.31473140719946012e-27
300.0 450.0 1.75346023817519404e-20 5.87001876561382390e-25 7.04833342322068798e-23 2.61009851424748453e-27
300.0 500.0 2.11532458613953986e-20 6.95197465827356105e-25 7.26127542890586509e-23 1.70710963164629079e-27
300.0 550.0 2.46572686523492296e-20 7.58294722681477614e-25 6.64496893664022342e-23 8.35166319745005026e-28
300.0 600.0 2.77166731580759757e-20 7.81291215123897447e-25 5.53736302207740911e-23 1.15004344053353841e-28
300.0 650.0 3.01613333146938684e-20 7.72953655227075074e-25 4.22680894451318840e-23 -4.17201488580812726e-28
300.0 700.0 3.19432482329143462e-20 7.42517533256686632e-25 2.91205422290307826e-23 -7.73241190582123808e-28
300.0 750.0 3.30923957640269631e-20 6.98035337934015316e-25 1.70932496821628009e-23 -9.85029149983896997e-28
300.0 800.0 3.36806802760572760e-20 6.45819363235197226e-25 6.73946657197675947e-24 -1.08838874022166063e-27
300.0 850.0 3.37970118145861809e-20 5.90465088826663922e-25 -1.78152909762369292e-24 -1.11541015274759742e-27
300.0 900.0 3.35319923475644635e-20 5.35117870439609856e-25 -8.53828103776464744e-24 -1.09184181244141039e-27
300.0 950.0 3.29695556034469651e-20 4.81799235189765322e-25 -1.37140786239129697e-23 -1.03698901183871110e-27
300.0 1000.0 3.21831414911233896e-20 4.31708223546893657e-25 -1.75365081763329726e-23 -9.64636918439886536e-28
300.0 1050.0 3.12345937155610145e-20 3.85467899472519575e-25 -2.02369830736407273e-23 -8.84236832612156527e-28
300.0 1100.0 3.01745571744273044e-20 3.43313611700276402e-25 -2.20297128533594130e-23 -8.02016366675375058e-28
300.0 1150.0 2.90436050758782261e-20 3.05230407001439265e-25 -2.31025100511088221e-23 -7.21894507202105564e-28
300.0 1200.0 2.78736395465307017e-20 2.71050015461232164e-25 -2.36143776072263920e-23 -6.46185781750361169e-28
300.0 1250.0 2.66893127065160065e-20 2.40517402669159850e-25 -2.36966945900484055e-23 -5.76119256084915239e-28
300.0 1300.0 2.55093403075395097e-20 2.13335226009922357e-25 -2.34560890212368172e-23 -5.12209718463168267e-28
300.0 1350.0 2.43476535928671260e-20 1.89192665547562153e-25 -2.29779034800106123e-23 -4.54517087719240830e-28
300.0 1400.0 2.32143760971023152e-20 1.67783437083516398e-25 -2.23296634939418283e-23 -4.02824172758772228e-28
300.0 1450.0 2.21166334241097317e-20 1.48816457073116923e-25 -2.15642591246463866e-23 -3.56756212610995588e-28
300.0 1500.0 2.10592138021073208e-20 1.32021611437439975e-25 -2.07227223807559070e-23 -3.15859651958702567e-28
300.0 1550.0 2.00451004839399056e-20 1.17152332810703306e-25 -1.98365771413074521e-23 -2.79652797944155667e-28
300.0 1600.0 1.90758968890782486e-20 1.03986154466295047e-25 -1.89297859771228257e-23 -2.47657342904928530e-28
300.0 1650.0 1.81521635562490983e-20 9.23240308538897498e-26 -1.80203393291870563e-23 -2.19417044341988685e-28
300.0 1700.0 1.72736834997476860e-20 8.19889512687226324e-26 -1.71215388713703381e-23 -1.94507916431215914e-28
300.0 1750.0 1.64396699814395092e-20 7.28241917438640961e-26 -1.62430256064892353e-23 -1.72542916281136833e-28
300.0 1800.0 1.56489282952874400e-20 6.46914265224348261e-26 -1.53915983867949861e-23 -1.53173148899948401e-28
300.0 1850.0 1.48999810286106624e-20 5.74688369167258595e-26 -1.45718623791268145e-23 -1.36086949880740152e-28
300.0 1900.0 1.41911644463990798e-20 5.10492995643566352e-26 -1.37867407137838644e-23 -1.21007747424850650e-28
300.0 1950.0 1.35207021308507246e-20 4.53386993192508593e-26 -1.30378767518162308e-23 -1.07691292949683811e-28
300.0 2000.0 1.28867607669181741e-20 4.02543881939596100e-26 -1.23259493191961927e-23 -9.59226377340242874e-29
300.0 2050.0 1.22874919582523813e-20 3.57237966955319204e-26 -1.16509189430539037e-23 -8.55130906041385763e-29
300.0 2100.0 1.17210631485643917e-20 3.16831946816664631e-26 -1.10122195455003623e-23 -7.62972967693965326e-29
300.0 2150.0 1.11856800763517113e-20 2.80765935308008255e-26 -1.04089071236510183e-23 -6.81305154662455250e-29
300.0 2200.0 1.06796026758445607e-20 2.48547786215851454e-26 -9.83977457622393551e-24 -6.08861336335356150e-29
300.0 2250.0 1.02011559283071515e-20 2.19744599469290873e-26 -9.30343993533927445e-24 -5.44534272478608520e-29
300.0 2300.0 9.74873684431169215e-21 1.93975285309765153e-26 -8.79841374331481040e-24 -4.87355662816286645e-29
300.0 2350.0 9.32081850197309575e-21 1.70904067683991113e-26 -8.32315010605871487e-24 -4.36478501559735610e-29
300.0 2400.0 8.91595186443862090e-21 1.50234815962228873e-26 -7.87608499634072835e-24 -3.91161557672049228e-29
300.0 2450.0 8.53276594097019795e-21 1.31706103641535357e-26 -7.45566462167188287e-24 -3.50755781276911541e-29
300.0 2500.0 8.16996673079675803e-21 1.15086902807338300e-26 -7.06036607198915009e-24 -3.14692433469470530e-29
350.0 300.0 1.07614726702949837e-20 1.23643351469219506e-25 1.32004114961300752e-23 3.50050180393594687e-27
350.0 350.0 1.19490846782332445e-20 3.14970071087385492e-25 3.55686733289079007e-23 4.01875846613014738e-27
350.0 400.0 1.43099872935801054e-20 5.12139207269273742e-25 5.77790379730665019e-23 3.74752106233620609e-27
350.0 450.0 1.75664032481090795e-20 6.80310692134184813e-25 7.06222544932141840e-23 2.91499353355597068e-27
350.0 500.0 2.11907835755140785e-20 8.00077172408826889e-25 7.27027736499136466e-23 1.86542326723781776e-27
350.0 550.0 2.46981064952231044e-20 8.67708923096666145e-25 6.64926998498847724e-23 8.62670961132802896e-28
350.0 600.0 2.77586537099153047e-20 8.89449570136817249e-25 5.53779852402372075e-23 4.29434699312291766e-29
350.0 650.0 3.02027786826609589e-20 8.75720307483093094e-25 4.22440268940727442e-23 -5.55531809214980295e-28
350.0 700.0 3.19829821251539813e-20 8.37320045757798727e-25 2.90776048725023184e-23 -9.49273631943663690e-28
350.0 750.0 3.31296771154977958e-20 7.83559332452052694e-25 1.70392160365960120e-23 -1.17711491695302655e-27
350.0 800.0 3.37151076669224897e-20 7.21662042666320567e-25 6.68015661825983756e-24 -1.28155995273712210e-27
350.0 850.0 3.38284299001536214e-20 6.56829436776730653e-25 -1.84203938849766153e-24 -1.30017052364650095e-27
350.0 900.0 3.35604132282848850e-20 5.92574176841615701e-25 -8.59730856769389824e-24 -1.26276985066963201e-27
350.0 950.0 3.29950981568104452e-20 5.31113332795990256e-25 -1.37699800823338130e-23 -1.19149909930535475e-27
350.0 1000.0 3.22059871663868300e-20 4.73725188947790465e-25 -1.75883793324902295e-23 -1.10200544939789910e-27
350.0 1050.0 3.12549557265589619e-20 4.21037766996896320e-25 -2.02844237768747233e-23 -1.00489015506321423e-27
350.0 1100.0 3.01926598802061418e-20 3.73247036016554699e-25 -2.20726529630496483e-23 -9.07036223903627491e-28
350.0 1150.0 2.90596707666538148e-20 3.30274708679929725e-25 -2.31410853003075230e-23 -8.12688843999797737e-28
350.0 1200.0 2.78878804337574608e-20 2.91878538281451820e-25 -2.36488437189982222e-23 -7.24278507592444134e-28
350.0 1250.0 2.67019264670224419e-20 2.57727194405271011e-25 -2.37273694738393579e-23 -6.43022257056186984e-28
