# HITEMP pruned exponential-sum Planck-mean surface v1
# T_grid 300.0 2500.0 50.0
# columns T_gas T_rad kappaP_cm2_per_molecule d_dTgas d_dTrad d2_dTgas_dTrad
300.0 300.0 2.13745398855302685e-20 4.05356536322362101e-23 -1.30215536702261321e-22 -2.31337003496384058e-25
300.0 350.0 1.64359544790405068e-20 3.06137792095314843e-23 -7.35831817013764554e-23 -1.68290636491963229e-25
300.0 400.0 1.35627395545615893e-20 2.34231149212936692e-23 -4.45440833921317107e-23 -1.21958632090878283e-25
300.0 450.0 1.17523094938846648e-20 1.81909968033249109e-23 -2.94698514970520166e-23 -8.92407762584597029e-26
300.0 500.0 1.05022835194030630e-20 1.43388358392426205e-23 -2.13164395901833711e-23 -6.61721722886226946e-26
300.0 550.0 9.56485346708075667e-21 1.14633385676387976e-23 -1.65693234786662401e-23 -4.97614467315839508e-26
300.0 600.0 8.81732793726015329e-21 9.28641540051418465e-24 -1.35317592887267787e-23 -3.79491090192056186e-26
300.0 650.0 8.19675263026035707e-21 7.61528725190947614e-24 -1.14029092783864761e-23 -2.93398018680149990e-26
300.0 700.0 7.66827603322710520e-21 6.31502465844723172e-24 -9.80571058087175891e-24 -2.29848742663722876e-26
300.0 750.0 7.21042512076237972e-21 5.29017516790089913e-24 -8.55655246635760496e-24 -1.82339755403990919e-26
300.0 800.0 6.80846416070250492e-21 4.47246747296427323e-24 -7.55797122561219964e-24 -1.46370938933670467e-26
300.0 850.0 6.45144603316142285e-21 3.81252162450930074e-24 -6.75086546172580637e-24 -1.18798957716925490e-26
300.0 900.0 6.13087618668207930e-21 3.27421246974873229e-24 -6.09415087710364723e-24 -9.74071415577531947e-27
300.0 950.0 5.84005108834976441e-21 2.83080507465397494e-24 -5.55643168147405218e-24 -8.06169324938531585e-27
300.0 1000.0 5.57367043805924702e-21 2.46228333102114178e-24 -5.11262619043187839e-24 -6.72927886459312071e-27
300.0 1050.0 5.32756295895274706e-21 2.15348804295192277e-24 -4.74248409548084247e-24 -5.66093242360026225e-27
300.0 1100.0 5.09846697454141744e-21 1.89280807547127307e-24 -4.42975760164104152e-24 -4.79601973513464225e-27
300.0 1150.0 4.88384634303962992e-21 1.67125204234500161e-24 -4.16157632936037020e-24 -4.08951801111815345e-27
300.0 1200.0 4.68173568532814068e-21 1.48178374153810319e-24 -3.92789126468556368e-24 -3.50763679691292506e-27
300.0 1250.0 4.49061226813427004e-21 1.31884179983514995e-24 -3.72096466394210248e-24 -3.02474655519651732e-27
300.0 1300.0 4.30929210973904911e-21 1.17798902271354817e-24 -3.53491298174668099e-24 -2.62120638477249863e-27
300.0 1350.0 4.13684742299369702e-21 1.05565385472958750e-24 -3.36531146765917626e-24 -2.28181419322355977e-27
300.0 1400.0 3.97254221415690132e-21 9.48937836396872927e-25 -3.20886328713288364e-24 -1.99469092259697226e-27
300.0 1450.0 3.81578286200610413e-21 8.55470782092237634e-25 -3.06313035041378126e-24 -1.75046979331153202e-27
300.0 1500.0 3.66608074225866348e-21 7.73300787733653632e-25 -2.92631940893287400e-24 -1.54170163388003342e-27
300.0 1550.0 3.52302433234987522e-21 7.00809899487371583e-25 -2.79711534760043043e-24 -1.36241458740896248e-27
300.0 1600.0 3.38625864530368948e-21 6.36648866426302366e-25 -2.67455337917466254e-24 -1.20778506655725637e-27
300.0 1650.0 3.25547024345051635e-21 5.79686217781693716e-25 -2.55792245044265886e-24 -1.07388958552095562e-27
300.0 1700.0 3.13037644331544894e-21 5.28968190224187330e-25 -2.44669316547896808e-24 -9.57515911930766140e-28
300.0 1750.0 3.01071763006949003e-21 4.83686946015403130e-25 -2.34046464062362282e-24 -8.56018113161952149e-28
300.0 1800.0 2.89625185218060048e-21 4.43155180460990407e-25 -2.23892577128704493e-24 -7.67204367471464601e-28
300.0 1850.0 2.78675106868553453e-21 4.06785693426402005e-25 -2.14182733554459835e-24 -6.89249442579190994e-28
300.0 1900.0 2.68199857969638440e-21 3.74074847610053114e-25 -2.04896215664588961e-24 -6.20625900954079747e-28
300.0 1950.0 2.58178729281047656e-21 3.44589092543009176e-25 -1.96015119664055041e-24 -5.60049636982000493e-28
300.0 2000.0 2.48591857103394520e-21 3.17953923611035868e-25 -1.87523397058779975e-24 -5.06436468103219350e-28
300.0 2050.0 2.39420147782756355e-21 2.93844787897534681e-25 -1.79406207483951756e-24 -4.58867315385534068e-28
300.0 2100.0 2.30645228708544729e-21 2.71979556188309486e-25 -1.71649493392177327e-24 -4.16560106025781586e-28
300.0 2150.0 2.22249416444090433e-21 2.52112262266758361e-25 -1.64239710718492394e-24 -3.78846971934739157e-28
300.0 2200.0 2.14215695456414534e-21 2.34027873291866550e-25 -1.57163667469324273e-24 -3.45155647809110644e-28
300.0 2250.0 2.06527702964915645e-21 2.17537903407941480e-25 -1.50408435501395238e-24 -3.14994219396904020e-28
300.0 2300.0 1.99169716906147036e-21 2.02476720307977837e-25 -1.43961310630341786e-24 -2.87938559778284909e-28
300.0 2350.0 1.92126645063815103e-21 1.88698423856970140e-25 -1.37809803474982105e-24 -2.63621934069356972e-28
300.0 2400.0 1.85384014153067281e-21 1.76074199007664888e-25 -1.31941648752151208e-24 -2.41726362356113872e-28
300.0 2450.0 1.78927958160982500e-21 1.64490063548550377e-25 -1.26344824587225463e-24 -2.21975415157417051e-28
300.0 2500.0 1.72745205593804505e-21 1.53844945799292021e-25 -1.21007576174944223e-24 -2.04128181384372044e-28
350.0 300.0 2.32974944168292625e-20 3.64952462667498144e-23 -1.40802311295544759e-22 -1.93404270851592045e-25
350.0 350.0 1.79002986461705145e-20 2.80264563390826440e-23 -8.14341532093969514e-23 -1.46406464920806177e-25
350.0 400.0 1.46895910730958497e-20 2.16926391774801936e-23 -5.03017569277730991e-23 -1.08714829665929340e-25
350.0 450.0 1.26311473331464223e-20 1.69900196066086200e-23 -3.37169807303605018e-23 -8.08611265873061962e-26
350.0 500.0 1.11972602187815242e-20 1.34791438507285034e-23 -2.44838746232438507e-23 -6.06599090404201680e-26
350.0 550.0 1.01218944105856230e-20 1.08317666741589555e-23 -1.89614924332220474e-23 -4.60125066225085931e-26
350.0 600.0 9.26954464809054016e-21 8.81213745302124229e-24 -1.53621673332763774e-23 -3.53256309279035260e-26
350.0 650.0 8.56825851819517229e-21 7.25239844319138865e-24 -1.28218521152508920e-23 -2.74582000671430411e-26
350.0 700.0 7.97682934227019198e-21 6.03285883442967261e-24 -1.09197740249804381e-23 -2.16061485754089153e-26
350.0 750.0 7.46925860161611655e-21 5.06770126992742104e-24 -9.44200037140049504e-24 -1.72045223484595716e-26
350.0 800.0 7.02755772811624720e-21 4.29492712265313042e-24 -8.26990663220075998e-24 -1.38554823567856140e-26
350.0 850.0 6.63841786108058870e-21 3.66934581669593423e-24 -7.32951718447481409e-24 -1.12775346249939524e-26
350.0 900.0 6.29161140199437595e-21 3.15769387142494774e-24 -6.56920827831405587e-24 -9.27023238566495657e-27
350.0 950.0 5.97914905674831126e-21 2.73523059718029676e-24 -5.95005075965356561e-24 -7.68975355046625267e-27
350.0 1000.0 5.69476587282557262e-21 2.38335481365617328e-24 -5.44152772503019983e-24 -6.43201822609619784e-27
350.0 1050.0 5.43355867073716692e-21 2.08792768909450213e-24 -5.01942859999004808e-24 -5.42100332807387373e-27
350.0 1100.0 5.19170427975162674e-21 1.83808493575185074e-24 -4.66459036509364348e-24 -4.60063091056806894e-27
350.0 1150.0 4.96623112662893875e-21 1.62538934597398700e-24 -4.36197417121415339e-24 -3.92911330624964210e-27
350.0 1200.0 4.75483264135162033e-21 1.44322117184934177e-24 -4.09990098379223238e-24 -3.37498957950091800e-27
350.0 1250.0 4.55571609276015220e-21 1.28633570316529468e-24 -3.86939497063589049e-24 -2.91432955420273653e-27
350.0 1300.0 4.36748184104790328e-21 1.15053918746012803e-24 -3.66362256564375661e-24 -2.52874710014096186e-27
350.0 1350.0 4.18902833580584960e-21 1.03244915120808924e-24 -3.47742282022126169e-24 -2.20397718641601345e-27
350.0 1400.0 4.01947843400333031e-21 9.29315412015696598e-25 -3.30692298455092785e-24 -1.92884805020112945e-27
350.0 1450.0 3.85812298970012140e-21 8.38885112381619479e-25 -3.14923037675689604e-24 -1.69453216912400947e-27
350.0 1500.0 3.70437816381210492e-21 7.59299971925822757e-25 -3.00218986620388633e-24 -1.49399543169429183e-27
350.0 1550.0 3.55775344964219990e-21 6.89017336266354864e-25 -2.86419595546050946e-24 -1.32158832564909299e-27
350.0 1600.0 3.41782794733056506e-21 6.26748964376319211e-25 -2.73404910589932287e-24 -1.17273973619112641e-27
350.0 1650.0 3.28423290933063064e-21 5.71413159653270276e-25 -2.61084716293823590e-24 -1.04372551705247976e-27
350.0 1700.0 3.15663900111995756e-21 5.22097029024439888e-25 -2.49390415299899457e-24 -9.31492023686622850e-28
350.0 1750.0 3.03474707232846413e-21 4.78026496604388894e-25 -2.38269012665069240e-24 -8.33520399542980635e-28
350.0 1800.0 2.91828151727323311e-21 4.38542304771396433e-25 -2.27678699344492857e-24 -7.47721341771504498e-28
350.0 1850.0 2.80698552856925873e-21 4.03080675639741493e-25 -2.17585638407601296e-24 -6.72352857021859598e-28
350.0 1900.0 2.70061772241289560e-21 3.71157627997604437e-25 -2.07961647609089799e-24 -6.05955502492350569e-28
350.0 1950.0 2.59894974852738494e-21 3.42356182452972402e-25 -1.98782544366329239e-24 -5.47301032601847649e-28
350.0 2000.0 2.50176459987431069e-21 3.16315864353140091e-25 -1.90026976287156872e-24 -4.95351403186502480e-28
350.0 2050.0 2.40885541410405944e-21 2.92724046662414034e-25 -1.81675604705963364e-24 -4.49225837580215662e-28
350.0 2100.0 2.32002461611398077e-21 2.71308775235690955e-25 -1.73710542662196327e-24 -4.08174212142991784e-28
350.0 2150.0 2.23508329361398617e-21 2.51832795295430082e-25 -1.66114974547539530e-24 -3.71555428691883218e-28
350.0 2200.0 2.15385072890322429e-21 2.34088556528858230e-25 -1.58872904064566706e-24 -3.38819747332785763e-28
350.0 2250.0 2.07615403293073454e-21 2.17894019522451175e-25 -1.51968991651980499e-24 -3.09494283418474273e-28
350.0 2300.0 2.00182784430940988e-21 2.03089121504123259e-25 -1.45388453308222303e-24 -2.83171046824189758e-28
350.0 2350.0 1.93071406789335292e-21 1.89532786977449090e-25 -1.39117000700391504e-24 -2.59497034882245681e-28
350.0 2400.0 1.86266163605360141e-21 1.77100390596736435e-25 -1.33140808283312229e-24 -2.38165992632058977e-28
350.0 2450.0 1.79752628179937151e-21 1.65681596886703114e-25 -1.27446497412510203e-24 -2.18911533182262651e-28
350.0 2500.0 1.73517031709081502e-21 1.55178515167301747e-25 -1.22021130522380908e-24 -2.01501372581179124e-28
400.0 300.0 2.50340301786043984e-20 3.30543783972653862e-23 -1.49666733169497889e-22 -1.62139338335186962e-25
400.0 350.0 1.92445172950101167e-20 2.57950124554267231e-23 -8.82816953750610371e-23 -1.28004445964741688e-25
400.0 400.0 1.57357361939439764e-20 2.01866081781844349e-23 -5.54479898476060479e-23 -9.74216234224026167e-26
400.0 450.0 1.34537857638251834e-20 1.59377881373853674e-23 -3.75752373795388287e-23 -7.36407263262065009e-26
400.0 500.0 1.18519065924263176e-20 1.27221503932079671e-23 -2.73944620645224978e-23 -5.58712061312763544e-26
400.0 550.0 1.06492515156146824e-20 1.02735893177882393e-23 -2.11783959930974047e-23 -4.27338971481139193e-26
400.0 600.0 9.69944106491196700e-21 8.39189320773685129e-24 -1.70695827036332195e-23 -3.30184218256566297e-26
400.0 650.0 8.92267229786447951e-21 6.93034328351119084e-24 -1.41523698181928778e-23 -2.57954591250771535e-26
400.0 700.0 8.27208797354609045e-21 5.78228291226197572e-24 -1.19689077477104984e-23 -2.03826535488967050e-26
400.0 750.0 7.71761109793966576e-21 4.87019261234809931e-24 -1.02788761321436904e-23 -1.62875595564172922e-26
400.0 800.0 7.23829211768625715e-21 4.13750699865024717e-24 -8.94490173541230591e-24 -1.31569540121284304e-26
400.0 850.0 6.81865582867808830e-21 3.54268208823213763e-24 -7.87965749395673749e-24 -1.07375951325962272e-26
400.0 900.0 6.44687534200200863e-21 3.05495596409943903e-24 -7.02196670526260909e-24 -8.84738601905795974e-27
400.0 950.0 6.11376899109565600e-21 2.65133781884064196e-24 -6.32602069718670264e-24 -7.35469382121459730e-27
400.0 1000.0 5.81217354396656514e-21 2.31447225013979635e-24 -5.75630961389042731e-24 -6.16369946177298996e-27
400.0 1050.0 5.53650185798714675e-21 2.03112161876192176e-24 -5.28496727756680567e-24 -5.20408007146030989e-27
400.0 1100.0 5.28240440887080845e-21 1.79108319278871542e-24 -4.89012881393896278e-24 -4.42375581078105195e-27
400.0 1150.0 5.04650030403202335e-21 1.58641203425843705e-24 -4.55473861143013585e-24 -3.78378551654819135e-27
400.0 1200.0 4.82616143237767670e-21 1.41085934045846058e-24 -4.26559699136533617e-24 -3.25476303084240295e-27
400.0 1250.0 4.61934002662531697e-21 1.25946322657782720e-24 -4.01256991568009809e-24 -2.81426060734281585e-27
400.0 1300.0 4.42443230686523410e-21 1.12824796088218742e-24 -3.78793284758025911e-24 -2.44500395502006095e-27
400.0 1350.0 4.24017191785441049e-21 1.01400087233765856e-24 -3.58583278759716544e-24 -2.13356018388049687e-27
400.0 1400.0 4.06554760226943246e-21 9.14105307188616227e-25 -3.40185443001027758e-24 -1.86938701178226573e-27
400.0 1450.0 3.89974026396706531e-21 8.26414363236528454e-25 -3.23267596344819736e-24 -1.64413791958487962e-27
400.0 1500.0 3.74207530368264528e-21 7.49154548540186417e-25 -3.07579999628818476e-24 -1.45114987118990867e-27
400.0 1550.0 3.59198681847102049e-21 6.80851596151153616e-25 -2.92934590528475345e-24 -1.28506222778458384e-27
400.0 1600.0 3.44899090674703198e-21 6.20272831566620867e-25 -2.79189136488637787e-24 -1.14153069279007191e-27
400.0 1650.0 3.31266588946252893e-21 5.66382018251821072e-25 -2.66235257796333504e-24 -1.01701066568368522e-27
400.0 1700.0 3.18263773665392642e-21 5.18303693195649810e-25 -2.53989452853404196e-24 -9.08591723467309588e-28
400.0 1750.0 3.05856938003814563e-21 4.75294782488409852e-25 -2.42386424774178515e-24 -8.13870087852940353e-28
400.0 1800.0 2.94015290531241844e-21 4.36721848278979147e-25 -2.31374154409524131e-24 -7.30849556424306997e-28
400.0 1850.0 2.82710386368483557e-21 4.02042726744408803e-25 -2.20910287278074401e-24 -6.57863943230086323e-28
400.0 1900.0 2.71915713261696795e-21 3.70791616057659931e-25 -2.10959501482125380e-24 -5.93515907727140461e-28
400.0 1950.0 2.61606390161580814e-21 3.42566894629151626e-25 -2.01491602969740086e-24 -5.36628370189922770e-28
400.0 2000.0 2.51758946956615563e-21 3.17021114816687771e-25 -1.92480156563456650e-24 -4.86205668143043101e-28
400.0 2050.0 2.42351162337143129e-21 2.93852741199285329e-25 -1.83901509115332549e-24 -4.41402307213227760e-28
400.0 2100.0 2.33361942991457012e-21 2.72799296329334173e-25 -1.75734097791906031e-24 -4.01497674400312120e-28
