source_table,flame,pressure_atm,burner_c2h2_volpct,c2h2_flow_cm3_s,n2_flow_cm3_s,air_flow_cm3_s,burner_exit_velocity_mm_s,air_coflow_velocity_mm_s,stoich_flame_length_z_over_d,char_residence_time_ms,reynolds_number,froude_number,radiative_loss_pct_lhv,z_mm,u_m_s,t_ms,T_K,dp_nm,fs_ppm,N_primary_per_aggregate,dp_u95_rel_upper,N_u95_rel_upper
Sunderland_dissertation_Table_B1,1,0.250,100,8.12,0,395,939,5.27,9.5,19.7,80,27,34.2,6.250,1.930,2.339,1176,13.18,0,44,0.10,0.20
Sunderland_dissertation_Table_B1,1,0.250,100,8.12,0,395,939,5.27,9.5,19.7,80,27,34.2,9.375,1.552,4.155,1607,19.89,0.027,,0.10,
Sunderland_dissertation_Table_B1,1,0.250,100,8.12,0,395,939,5.27,9.5,19.7,80,27,34.2,12.500,1.427,6.257,1825,23.33,0.580,58,0.10,0.20
Sunderland_dissertation_Table_B1,1,0.250,100,8.12,0,395,939,5.27,9.5,19.7,80,27,34.2,15.625,1.372,8.491,1761,16.65,0.845,,0.10,
Sunderland_dissertation_Table_B1,1,0.250,100,8.12,0,395,939,5.27,9.5,19.7,80,27,34.2,18.750,1.356,10.782,1720,16.42,0.890,119,0.10,0.20
Sunderland_dissertation_Table_B1,1,0.250,100,8.12,0,395,939,5.27,9.5,19.7,80,27,34.2,21.875,1.368,13.076,1653,15.85,0.960,,0.10,
Sunderland_dissertation_Table_B1,1,0.250,100,8.12,0,395,939,5.27,9.5,19.7,80,27,34.2,25.000,1.410,15.327,1644,15.00,1.020,224,0.10,0.20
Sunderland_dissertation_Table_B1,1,0.250,100,8.12,0,395,939,5.27,9.5,19.7,80,27,34.2,28.125,1.441,17.519,1661,15.50,1.040,,0.10,
Sunderland_dissertation_Table_B1,1,0.250,100,8.12,0,395,939,5.27,9.5,19.7,80,27,34.2,31.250,1.478,19.661,1643,15.04,1.030,257,0.10,0.20
Sunderland_dissertation_Table_B1,1,0.250,100,8.12,0,395,939,5.27,9.5,19.7,80,27,34.2,34.375,1.517,21.748,1630,13.85,0.850,,0.10,
Sunderland_dissertation_Table_B1,1,0.250,100,8.12,0,395,939,5.27,9.5,19.7,80,27,34.2,37.500,1.556,23.782,1650,12.93,0.739,373,0.10,0.20
Sunderland_dissertation_Table_B1,1,0.250,100,8.12,0,395,939,5.27,9.5,19.7,80,27,34.2,40.625,1.602,25.762,1665,12.53,0.659,,0.10,
Sunderland_dissertation_Table_B1,1,0.250,100,8.12,0,395,939,5.27,9.5,19.7,80,27,34.2,43.750,1.650,27.684,1596,10.24,0.259,384,0.10,0.20
Sunderland_dissertation_Table_B1,2,0.188,100,13.6,0,755,1570,10.1,13.9,22.6,100,76,32.3,9.375,2.716,2.189,1252,15.10,0.0200,,0.10,
Sunderland_dissertation_Table_B1,2,0.188,100,13.6,0,755,1570,10.1,13.9,22.6,100,76,32.3,12.500,2.210,3.471,1611,20.78,0.1401,,0.10,
Sunderland_dissertation_Table_B1,2,0.188,100,13.6,0,755,1570,10.1,13.9,22.6,100,76,32.3,15.625,1.940,4.984,1856,17.51,0.5700,,0.10,
Sunderland_dissertation_Table_B1,2,0.188,100,13.6,0,755,1570,10.1,13.9,22.6,100,76,32.3,18.750,1.802,6.656,1827,13.12,0.6258,,0.10,
Sunderland_dissertation_Table_B1,2,0.188,100,13.6,0,755,1570,10.1,13.9,22.6,100,76,32.3,21.875,1.722,8.431,1800,12.39,0.7700,,0.10,
Sunderland_dissertation_Table_B1,2,0.188,100,13.6,0,755,1570,10.1,13.9,22.6,100,76,32.3,25.000,1.672,10.272,1763,11.41,0.8500,,0.10,
Sunderland_dissertation_Table_B1,2,0.188,100,13.6,0,755,1570,10.1,13.9,22.6,100,76,32.3,28.125,1.651,12.153,1725,12.69,0.8763,,0.10,
Sunderland_dissertation_Table_B1,2,0.188,100,13.6,0,755,1570,10.1,13.9,22.6,100,76,32.3,31.250,1.655,14.044,1703,12.38,0.9200,,0.10,
Sunderland_dissertation_Table_B1,2,0.188,100,13.6,0,755,1570,10.1,13.9,22.6,100,76,32.3,34.375,1.674,15.921,1722,11.93,0.9300,,0.10,
Sunderland_dissertation_Table_B1,2,0.188,100,13.6,0,755,1570,10.1,13.9,22.6,100,76,32.3,37.500,1.707,17.770,1734,10.86,0.9217,,0.10,
Sunderland_dissertation_Table_B1,2,0.188,100,13.6,0,755,1570,10.1,13.9,22.6,100,76,32.3,40.625,1.747,19.580,1780,10.96,0.8000,,0.10,
Sunderland_dissertation_Table_B1,2,0.188,100,13.6,0,755,1570,10.1,13.9,22.6,100,76,32.3,43.750,1.790,21.347,1804,9.76,0.5800,,0.10,
Sunderland_dissertation_Table_B1,2,0.188,100,13.6,0,755,1570,10.1,13.9,22.6,100,76,32.3,46.875,1.830,23.074,1627,9.26,0.3600,,0.10,
Sunderland_dissertation_Table_B1,3,0.125,100,25.0,0,1450,2880,19.4,15.2,16.9,122,256,29.4,12.500,4.476,1.664,1287,14.66,0.017,,0.10,
Sunderland_dissertation_Table_B1,3,0.125,100,25.0,0,1450,2880,19.4,15.2,16.9,122,256,29.4,15.625,3.639,2.442,1745,18.92,0.040,,0.10,
Sunderland_dissertation_Table_B1,3,0.125,100,25.0,0,1450,2880,19.4,15.2,16.9,122,256,29.4,18.750,3.070,3.381,2020,15.09,0.205,,0.10,
Sunderland_dissertation_Table_B1,3,0.125,100,25.0,0,1450,2880,19.4,15.2,16.9,122,256,29.4,21.875,2.748,4.458,2032,14.69,0.283,,0.10,
Sunderland_dissertation_Table_B1,3,0.125,100,25.0,0,1450,2880,19.4,15.2,16.9,122,256,29.4,25.000,2.542,5.641,2039,12.60,0.315,,0.10,
Sunderland_dissertation_Table_B1,3,0.125,100,25.0,0,1450,2880,19.4,15.2,16.9,122,256,29.4,28.125,2.387,6.911,2007,11.19,0.330,,0.10,
Sunderland_dissertation_Table_B1,3,0.125,100,25.0,0,1450,2880,19.4,15.2,16.9,122,256,29.4,31.250,2.261,8.256,1982,11.13,0.332,,0.10,
Sunderland_dissertation_Table_B1,3,0.125,100,25.0,0,1450,2880,19.4,15.2,16.9,122,256,29.4,34.375,2.182,9.663,1934,10.46,0.326,,0.10,
Sunderland_dissertation_Table_B1,3,0.125,100,25.0,0,1450,2880,19.4,15.2,16.9,122,256,29.4,37.500,2.153,11.105,1905,9.76,0.310,,0.10,
Sunderland_dissertation_Table_B1,3,0.125,100,25.0,0,1450,2880,19.4,15.2,16.9,122,256,29.4,40.625,2.155,12.556,1939,9.89,0.293,,0.10,
Sunderland_dissertation_Table_B1,3,0.125,100,25.0,0,1450,2880,19.4,15.2,16.9,122,256,29.4,43.750,2.168,14.002,1955,9.30,0.208,,0.10,
Sunderland_dissertation_Table_B1,4,0.250,59,8.96,6.24,395,1760,5.27,12.2,19.4,149,96,31.7,9.375,2.753,2.5258,1204,18.38,0.0080,,0.10,
Sunderland_dissertation_Table_B1,4,0.250,59,8.96,6.24,395,1760,5.27,12.2,19.4,149,96,31.7,12.500,2.510,3.7875,1553,24.43,0.0180,,0.10,
Sunderland_dissertation_Table_B1,4,0.250,59,8.96,6.24,395,1760,5.27,12.2,19.4,149,96,31.7,15.625,2.004,5.2613,1787,17.13,0.0960,,0.10,
Sunderland_dissertation_Table_B1,4,0.250,59,8.96,6.24,395,1760,5.27,12.2,19.4,149,96,31.7,18.750,1.855,6.8833,1773,19.14,0.3590,,0.10,
Sunderland_dissertation_Table_B1,4,0.250,59,8.96,6.24,395,1760,5.27,12.2,19.4,149,96,31.7,21.875,1.762,8.6124,1810,13.56,0.5190,,0.10,
Sunderland_dissertation_Table_B1,4,0.250,59,8.96,6.24,395,1760,5.27,12.2,19.4,149,96,31.7,25.000,1.718,10.409,1764,12.37,0.6614,,0.10,
Sunderland_dissertation_Table_B1,4,0.250,59,8.96,6.24,395,1760,5.27,12.2,19.4,149,96,31.7,28.125,1.669,12.254,1764,12.51,0.6790,,0.10,
Sunderland_dissertation_Table_B1,4,0.250,59,8.96,6.24,395,1760,5.27,12.2,19.4,149,96,31.7,31.250,1.664,14.130,1700,12.53,0.7080,,0.10,
Sunderland_dissertation_Table_B1,4,0.250,59,8.96,6.24,395,1760,5.27,12.2,19.4,149,96,31.7,34.375,1.676,16.001,1746,11.70,0.6700,,0.10,
Sunderland_dissertation_Table_B1,4,0.250,59,8.96,6.24,395,1760,5.27,12.2,19.4,149,96,31.7,37.500,1.701,17.852,1736,10.45,0.6030,,0.10,
Sunderland_dissertation_Table_B1,4,0.250,59,8.96,6.24,395,1760,5.27,12.2,19.4,149,96,31.7,40.625,1.734,19.671,1767,10.88,0.5090,,0.10,
Sunderland_dissertation_Table_B1,4,0.250,59,8.96,6.24,395,1760,5.27,12.2,19.4,149,96,31.7,43.750,1.767,21.457,1744,10.78,0.2420,,0.10,
Sunderland_dissertation_Table_B1,4,0.250,59,8.96,6.24,395,1760,5.27,12.2,19.4,149,96,31.7,46.875,1.795,23.211,1622,9.64,0,,0.10,
