fuel,z_mm,T_K,dp_nm,fs_ppm,dp_u95_rel_upper,source
ethane,40,1683,28.15,0.052,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
ethane,43,1760,28.07,0.115,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
ethane,46,1855,25.92,0.272,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
ethane,49,1875,23.8,0.619,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
ethane,52,1895,19.69,0.745,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
ethane,55,1935,19.18,0.732,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
ethane,58,1900,19.44,0.618,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
ethane,61,1970,19.44,0.433,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
ethane,64,1857,18.25,0.22,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
propane,30,1309,24.03,0.033,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
propane,34,1557,27.15,0.128,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
propane,38,1754,29.42,0.33,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
propane,42,1777,30.28,1.17,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
propane,46,1780,24.57,1.51,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
propane,50,1753,22.7,1.725,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
propane,54,1820,21.96,1.547,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
propane,58,1849,23.13,1.39,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
propane,62,1902,22.76,0.935,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
propane,66,1787,17.49,0.346,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
n-butane,30,1508,31.37,0.062,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
n-butane,34,1644,27.35,0.14,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
n-butane,38,1855,28.08,0.55,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
n-butane,42,1815,26.51,1.305,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
n-butane,46,1701,21.36,1.65,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
n-butane,50,1753,20.99,1.905,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
n-butane,54,1735,20.05,1.8,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
n-butane,58,1780,19.15,1.605,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
n-butane,62,1800,19.49,1.25,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
n-butane,66,1721,19.3,0.477,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
ethylene,22,1319,26.16,0.035,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
ethylene,26,1504,28.72,0.087,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
ethylene,30,1730,27.27,0.34,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
ethylene,34,1785,31.49,1.33,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
ethylene,38,1748,26.83,1.92,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
ethylene,42,1653,26.63,2.1,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
ethylene,46,1665,25.35,2.31,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
ethylene,50,1704,25.86,2.351,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
ethylene,54,1695,23.84,2.228,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
ethylene,58,1770,22.8,2.03,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
ethylene,62,1765,22.29,1.17,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
ethylene,66,1632,20.08,0.496,0.10,Sunderland_dissertation_Table_C1_atm_98.8kPa
