source_table,peat,packing_density_g_cm3,depth_in,moisture_content_pct,wavelength_nm,n,n_sd,kappa,kappa_sd,SSA,SSA_sd
S1,AK,0.03,0-4,5,375,1.644,0.110,0.01334,0.00068,0.930,0.002
S1,AK,0.03,0-4,10,375,1.596,0.050,0.01279,0.00092,0.932,0.005
S1,AK,0.03,0-4,15,375,1.683,0.070,0.01413,0.00120,0.922,0.005
S1,AK,0.03,0-4,20,375,1.574,0.072,0.01344,0.00104,0.931,0.006
S1,AK,0.03,0-4,40,375,1.659,0.069,0.01351,0.00073,0.938,0.004
S1,AK,0.03,4-8,5,375,1.531,0.031,0.01114,0.00035,0.943,0.002
S1,AK,0.03,4-8,10,375,1.581,0.055,0.01334,0.00055,0.930,0.003
S1,AK,0.03,4-8,15,375,1.553,0.025,0.01210,0.00085,0.938,0.004
S1,AK,0.03,4-8,20,375,1.517,0.033,0.01278,0.00068,0.934,0.004
S1,AK,0.03,4-8,40,375,1.638,0.090,0.01185,0.00135,0.944,0.008
S1,AK,0.03,0-4,5,405,1.613,0.094,0.00739,0.00031,0.961,0.001
S1,AK,0.03,0-4,10,405,1.592,0.038,0.00671,0.00016,0.964,0.001
S1,AK,0.03,0-4,15,405,1.606,0.049,0.00774,0.00018,0.982,0.001
S1,AK,0.03,0-4,20,405,1.568,0.019,0.00733,0.00001,0.963,0.001
S1,AK,0.03,0-4,40,405,1.583,0.006,0.00762,0.00010,0.963,0.001
S1,AK,0.03,4-8,5,405,1.545,0.004,0.00606,0.00012,0.969,0.001
S1,AK,0.03,4-8,10,405,1.551,0.048,0.00677,0.00020,0.964,0.001
S1,AK,0.03,4-8,15,405,1.549,0.011,0.00665,0.00001,0.966,0.001
S1,AK,0.03,4-8,20,405,1.521,0.026,0.00647,0.00024,0.966,0.001
S1,AK,0.03,4-8,40,405,1.563,0.008,0.00600,0.00016,0.970,0.001
S1,AK,0.03,0-4,5,532,1.541,0.036,0.00334,0.00012,0.983,0.001
S1,AK,0.03,0-4,10,532,1.545,0.020,0.00312,0.00023,0.984,0.001
S1,AK,0.03,0-4,15,532,1.538,0.013,0.00364,0.00015,0.982,0.001
S1,AK,0.03,0-4,20,532,1.524,0.014,0.00299,0.00153,0.985,0.008
S1,AK,0.03,0-4,40,532,1.536,0.004,0.00236,0.00011,0.987,0.001
S1,AK,0.03,4-8,5,532,1.516,0.003,0.00194,0.00133,0.990,0.007
S1,AK,0.03,4-8,10,532,1.534,0.017,0.00304,0.00022,0.984,0.001
S1,AK,0.03,4-8,15,532,1.520,0.007,0.00273,0.00018,0.986,0.001
S1,AK,0.03,4-8,20,532,1.496,0.014,0.00233,0.00023,0.987,0.001
S1,AK,0.03,4-8,40,532,1.521,0.003,0.00205,0.00010,0.988,0.001
S1,AK,0.03,0-4,5,1047,1.564,0.052,0.00284,0.00027,0.981,0.002
S1,AK,0.03,0-4,10,1047,1.564,0.025,0.00301,0.00023,0.980,0.001
S1,AK,0.03,0-4,15,1047,1.523,0.034,0.00290,0.00019,0.979,0.002
S1,AK,0.03,0-4,20,1047,1.506,0.014,0.00247,0.00022,0.980,0.002
S1,AK,0.03,0-4,40,1047,1.586,0.154,0.00188,0.00023,0.977,0.019
S1,AK,0.03,4-8,5,1047,1.534,0.019,0.00222,0.00024,0.983,0.002
S1,AK,0.03,4-8,10,1047,1.517,0.034,0.00299,0.00042,0.977,0.004
S1,AK,0.03,4-8,15,1047,1.536,0.022,0.00218,0.00023,0.986,0.001
S1,AK,0.03,4-8,20,1047,1.518,0.061,0.00194,0.00015,0.983,0.005
S1,AK,0.03,4-8,40,1047,1.623,0.168,0.00161,0.00017,0.983,0.013
S2,IN,0.03,,5,375,1.630,0.027,0.00997,0.00058,0.951,0.002
S2,IN,0.03,,20,375,1.656,0.034,0.00863,0.00059,0.958,0.003
S2,IN,0.03,,40,375,1.718,0.035,0.01237,0.00075,0.940,0.001
S2,IN,0.03,,5,405,1.546,0.013,0.00561,0.00013,0.971,0.001
S2,IN,0.03,,20,405,1.556,0.008,0.00507,0.00012,0.974,0.001
S2,IN,0.03,,40,405,1.607,0.006,0.00714,0.00010,0.966,0.001
S2,IN,0.03,,5,532,1.485,0.005,0.00186,0.00001,0.989,0.001
S2,IN,0.03,,20,532,1.493,0.002,0.00169,0.00001,0.990,0.001
S2,IN,0.03,,40,532,1.517,0.002,0.00224,0.00001,0.988,0.001
S2,IN,0.03,,5,1047,1.576,0.010,0.00186,0.00001,0.986,0.001
S2,IN,0.03,,20,1047,1.583,0.032,0.00175,0.00001,0.987,0.001
S2,IN,0.03,,40,1047,1.619,0.0205,0.00212,0.00011,0.986,0.001
S7,AK,0.06,,,375,1.592,0.027,0.02945,0.00110,0.852,0.005
S7,AK,0.06,,,405,1.567,0.019,0.00983,0.00044,0.946,0.002
S7,AK,0.06,,,532,1.463,0.044,0.00147,0.00016,0.991,0.001
