frame,time_s,lit_pixels,display_sha256
0,10.531864278920693,77,70cd7f01f1ccd725790022b87c48cf39a94efa95b19107c724fbfcaa4e6a5685
1,10.594364278920693,109,3892ef6e4ef0c667abb7ae6a26c40790f779269f9327b07d5f432060bf79cb07
2,10.656864278906141,98,57eb4aaaaca2e0f5040ea418690d67456aab01b65e8293fcf5e3f125f9fbb7ac
3,10.719364278913417,273,e3eb2a1810fec9aaf6b8f9f1635ce7278340bf5fe2e5181de782b6e09429b8e8
4,10.781864278913417,339,40f56f99bb3e394c7e527d108d158363a045b8b205ca18bb7fcb124c2ebc85de
5,10.844364278942521,407,39c21e25e7be5c0b4bf92335352c3aaaee0fbb62d31e2c495283c87e4394189c
6,10.906864278913417,404,2cffb5f84b6d999cff011774631613bc3f0daf00978c1dd58e6202ae47fd9c4f
7,10.969364278913417,356,a63c339dcfdbefbff95fef600504cfccf4b43b787453b1000ae789e79b94c71a
8,11.031864278913417,26,00c81ed2aa8e12a2302ed021758e0e5eb8aa3007dc2b9b8c54628a472ba11cb4
9,11.094364278913417,16,4a5d49a88f138fa273971031372b9bbdc44081941cc6ce8c4d8bc522631486e0
10,11.156864278913417,14,36c2ceb55a67787eb6a20eda8a58d6f765f0b6264320c7d800ce441061c711fb
11,11.219364278913417,13,ff562691400b7df83ecb6a5ecfa61f9716f55f03e70d34cf3ced7fd3ac4f5904
12,11.281864278913417,20,3778b7daa2e7aa8897c4964589ac011698e4c8e2ed182e9a4191b9ba723b4591
13,11.344364278913417,20,e461f4dd4bda731d7530fd2b8b3150fe11e8767f02cccbf7d832189457abb5ac
14,11.406864278971625,21,c1f804294df75a2b60f1adcdf6e0ee53f33be3c5ed8eaeba1cce04b5fb0b9587
15,11.469364278913417,24,73e4e12d87a77acf882dfa73b9f6e012dfdbcfc77462a956df0c8b9ec36989c6
16,11.531864278913417,25,c7aba57d1946379e1b5ebf5fc71142eedd8bfb0598a89d6ba073075110e38ec6
17,11.594364278913417,30,dcc2c61c41d9738e9d02ccef45da3cec51950bc980c4b6ec33e0b0a3f5761751
18,11.656864278913417,37,85b8c176f5bbcbfba46e2932aa0a9258f2992f9a00a94dc480b4b5979f6a3542
19,11.719364278913417,29,451d52d0424c114f4f158d991397d208e45153caf88c95f141928bf6790ec4ce
20,11.781864278902503,35,86574e6387cef5967431b419b92fb984fdc447e92dbc3f15130cdde5d6715fb4
21,11.844364278924331,44,e5a4a6a907b229790edaf3efe2dc85928a85bc02a635724edfdd1c552a9e2484
22,11.906864278924331,49,1aa09b1d684aad3b7bbe6562497a683d99a777d7aa5693f9ab716a10b36d2d81
23,11.969364278924331,34,2a48596a27f13de72d9b1c07089500e476a7dd41b7c07605390ecc1c0add1f9a
24,12.031864278924331,40,ee3a6682fe7d2249e4d90d1d13f7efadc666e42199a884b3c19cd00da2023aa0
25,12.094364278982539,37,aa7f0bff220e6e2fdfa2fcfc401a197d291116483d431cc2b40047734a1c1929
26,12.156864278982539,34,b8b40d33ea7395f9bcd01789329ad665c4c884490e37becf7de21c197e291a08
27,12.219364278902503,35,511a612155a3b64bfa37adb82263528aa4b2a4d288adaca2750e5677c8243a55
28,12.281864279004367,38,e18eab390e5f8f49afae59a3af1cccc6eba77069ce44a9aed12120f37080e306
29,12.344364279004367,37,09b2703c605cba6c031631eeee0ae30b82099d712d83fa416980a606c69dab0b
30,12.406864278917055,38,f9a182a3340e16a7e7de5c2a867e6dfe3cf50614ab2f3e2591f0df2ba2370b98
31,12.469364278917055,44,31a4943786069d6c66ddacd21dc441429ba49f750612d57af6204d17840b9039
32,12.531864278917055,33,247535f928067a759d26a4b597964a42ca9adda6403f73c42d450a2d08a573ba
33,12.594364278946159,41,d1304bb489670f3b6e0885c86af27103faf7375a1f64b3ba674b99ab081ef9b8
34,12.656864278946159,45,e70b4931faeec5b174d0630e687d51942d0de85318d2f7e5a350034ec92ac7c5
35,12.719364278946159,35,668e998b74c4d08314cf523e8805bfab49bb9c9d88d891d365a099faeb1f7a2f
36,12.781864278946159,35,9a2065ea6ed6e2aa09db58bf205b2a3814cd17c5b90b49ff2c497a7d18050deb
37,12.844364278946159,29,2d17d56ca498dd4bff84161698ae943d6e6590704e2d544f23e6f5c0c3526eb6
38,12.906864278946159,37,a05a9b1e665e42fa67a2e2db70e991c078a3d88d1db15ab5345eceeab19d5aed
39,12.969364278946159,32,081c937715b7300bf61374e6dc10437b9ea7b1f9acea22ed887bc6d83542f26b
40,13.031864278946159,32,3c400d5502c736fc1374704612a0af2a1e3fe6db6403bef4d16d0c9e0be44a52
41,13.094364278946159,37,994d153a78b22c98720faffe010def74b41fc106d6f8003f808d9bceb99047a6
42,13.156864278946159,39,7e03ebf08b4e7199628b21fbc8dc4e558822ef4bfc12496a9415dbdfcfc5164f
43,13.219364278946159,36,a3aacf812006c9f846fd66f97cbde75ebee960316f50eb3481783f268f529645
44,13.281864278946159,44,03e0c28af2786f64203562d522ad769b9c97ea3db6b8022fc9269c9df88a4364
45,13.344364278946159,29,4182659a20962edfc6d5b9c35d7750607284b0289c4b682ff1eb7c78661c3d1d
46,13.406864278946159,27,e6ccba389d60e849679bdf63c760edddcb48862604251b82e12e04414e05fce1
47,13.469364278946159,24,9b9415babb6dc5ed0ad24b89e06a50e11808027b0b85c462fc3a1c519ced572f
48,13.531864278946159,36,aafca170f80fcaa8ed099a3de006d29ea7b4fead7b55ac17f20a7c00f017074b
49,13.594364278946159,40,ec7b9932a2037f6bcb469002ba902f1a54e88f7e6496d21fa04d4dca659f2ba6
50,13.656864278946159,41,5f5152b749c725c68ee1652e29a27343b40ff8387e9a309360b1be62209d3bf0
51,13.719364278946159,46,b7036554988985d6d125533f4375dc53b6120dfa080cea6e3ba964341157dfc3
52,13.781864278946159,51,c0a17d214b232e32d322db02815d5e06ca149f992a266cd692d0c51794fd319f
53,13.844364278946159,46,fa2481907f8d2d9d052eb270126175bc8d7bb2888715415fd43445b4980ab041
