accepted_step,time_s,dt_s,maximum_velocity_m_per_s,axis,face,x,y,z,manifold_max,manifold_p95,manifold_p50,tail_cells,tail_drained_m3
1526,2.1398536498527392,0.0010551472660154104,11.446724891662598,2,11312,46,45,1,0.21111559867858887,0.023611128330230713,0.00017017126083374023,30610,0.0021627954523319335
1527,2.1409227108451887,0.001069060992449522,12.801682472229004,2,11312,46,45,1,0.24833178520202637,0.068305432796478271,0.00057417154312133789,7045,0.0010274968684195478
1528,2.1418415799489594,0.00091886910377070308,15.159948348999023,2,11312,46,45,1,0.24999988079071045,0.055413961410522461,0.00042700767517089844,66030,0.0086450562912712397
1529,2.1426487889475538,0.00080720899859443307,17.281789779663086,2,11312,46,45,1,0.18175065517425537,0.016226887702941895,7.82012939453125e-05,31771,0.0021259630079590807
1530,2.1433568895663484,0.00070810061879456043,18.19032096862793,2,11312,46,45,1,0.19784069061279297,0.048557877540588379,0.00045484304428100586,2129,0.00036302922498732219
1531,2.1440296235014102,0.0006727339350618422,18.733301162719727,2,11312,46,45,1,0.15121662616729736,0.047796130180358887,0.00037872791290283203,1717,0.00024256469387763649
1532,2.144682858393935,0.00065323489252477884,20.030881881713867,2,11312,46,45,1,0.14876562356948853,0.016416549682617188,6.0915946960449219e-05,1757,0.00021080252342332097
1533,2.1452937774229213,0.00061091902898624539,22.846529006958008,2,11312,46,45,1,0.15089952945709229,0.045318007469177246,0.00041639804840087891,2745,0.00030966298698420453
1534,2.1458294056574232,0.00053562823450192809,26.597673416137695,2,11312,46,45,1,0.1385921835899353,0.043876528739929199,0.00036084651947021484,2530,0.00031048770103672761
1535,2.1462894927462912,0.00046008708886802197,29.908992767333984,2,11312,46,45,1,0.14768534898757935,0.014755845069885254,1.0192394256591797e-05,1540,0.00017917547215298918
1536,2.1466986421364709,0.0004091493901796639,32.166622161865234,2,11312,46,45,1,0.16631060838699341,0.035146832466125488,0.0003185272216796875,666,6.8005783695451453e-05
1537,2.1470790751845925,0.00038043304812163115,33.919502258300781,2,11312,46,45,1,0.18259268999099731,0.038300156593322754,0.00032031536102294922,394,3.4787229279700739e-05
1538,2.14743984836241,0.00036077317781746387,37.194137573242188,2,11312,46,45,1,0.18198859691619873,0.014480650424957275,2.0146369934082031e-05,470,3.3230559752053226e-05
1539,2.1477688584345742,0.0003290100721642375,42.651420593261719,2,11312,46,45,1,0.16953372955322266,0.030879974365234375,0.00027382373809814453,618,4.796312316198193e-05
1540,2.1480557714166935,0.00028691298211924732,49.017635345458984,2,11312,46,45,1,0.1572420597076416,0.033711552619934082,0.00028920173645019531,493,4.3750417371120025e-05
1541,2.1483054212803836,0.00024964986369013786,54.306377410888672,2,11312,46,45,1,0.15430396795272827,0.014261186122894287,5.1379203796386719e-05,286,2.0826894308677087e-05
1542,2.1485307584734983,0.00022533719311468303,58.283489227294922,2,11312,46,45,1,0.16061252355575562,0.024300575256347656,0.00021064281463623047,115,7.4155177322116582e-06
1543,2.1487407192398678,0.00020996076636947691,61.395885467529297,2,11312,46,45,1,0.16700661182403564,0.029627799987792969,0.00025719404220581055,65,4.4135320385453839e-06
