accepted_step,time_s,dt_s,maximum_velocity_m_per_s,axis,face,x,y,z,manifold_max,manifold_p95,manifold_p50,tail_cells,tail_drained_m3
1434,2.1210542431799695,0.001439726329408586,8.5051889419555664,2,691655,43,44,93,0.21539592742919922,0.06812894344329834,0.00010293722152709961,12797,0.0018867306386841287
1435,2.1224930408643559,0.0014387976843863726,8.4265623092651367,2,699050,42,44,94,0.22248375415802002,0.046126425266265869,6.8187713623046875e-05,58866,0.010939237094762019
1436,2.1239326731301844,0.0014396322658285499,8.4884757995605469,2,181331,43,44,24,0.24999964237213135,0.027502059936523438,4.1842460632324219e-05,30053,0.0051906896584461354
1437,2.1253743037814274,0.001441630651243031,8.53369140625,2,684258,42,44,92,0.2257232666015625,0.061058521270751953,0.00010132789611816406,18704,0.0033661366798034987
1438,2.126703598536551,0.0013292947551235557,8.9201459884643555,2,11046,38,42,1,0.24999988079071045,0.045696735382080078,6.9856643676757812e-05,39644,0.0039855542623846527
1439,2.1280754647450522,0.0013718662085011601,10.247286796569824,2,11046,38,42,1,0.22450017929077148,0.028098404407501221,4.3511390686035156e-05,25508,0.0029160313616724306
1440,2.129269658587873,0.0011941938428208232,11.573147773742676,2,11046,38,42,1,0.21496355533599854,0.057820141315460205,9.7751617431640625e-05,16517,0.0025557743032374948
1441,2.1303270412608981,0.0010573826730251312,12.814417839050293,2,11046,38,42,1,0.21585428714752197,0.039983272552490234,6.7234039306640625e-05,20096,0.0022306964224962215
1442,2.1312820004532114,0.00095495919231325388,14.056404113769531,2,11046,38,42,1,0.18145656585693359,0.023129105567932129,2.8789043426513672e-05,5263,0.0007900488720317965
1443,2.1321525820530951,0.00087058159988373518,16.140964508056641,2,11046,38,42,1,0.15833902359008789,0.049656569957733154,8.1896781921386719e-05,4330,0.00057323652713459896
1444,2.1329107304336503,0.0007581483805552125,18.876298904418945,2,11046,38,42,1,0.13508081436157227,0.036771893501281738,6.4253807067871094e-05,4339,0.00050692548931984428
1445,2.1335590167436749,0.0006482863100245595,21.462059020996094,2,11046,38,42,1,0.12207221984863281,0.017936766147613525,1.6272068023681641e-05,2745,0.00031367341108470181
1446,2.134129197220318,0.00057018047664314508,23.682893753051758,2,11046,38,42,1,0.12023341655731201,0.038668274879455566,6.3419342041015625e-05,1331,0.00015067296467880583
1447,2.1346459097112529,0.00051671249093487859,25.402589797973633,2,11046,38,42,1,0.12618732452392578,0.032193183898925781,5.7816505432128906e-05,783,8.905356802273058e-05
1448,2.1351276419591159,0.00048173224786296487,27.398983001708984,2,11046,38,42,1,0.12924754619598389,0.016110539436340332,1.1682510375976562e-05,789,7.0990395280659316e-05
1449,2.1355742733576335,0.00044663139851763844,30.402894973754883,2,11046,38,42,1,0.1272132396697998,0.034323632717132568,5.53131103515625e-05,881,7.2082713316571926e-05
1450,2.1359767760150135,0.00040250265737995505,34.456283569335938,2,11046,38,42,1,0.12701064348220825,0.029682278633117676,5.4001808166503906e-05,813,7.0531184804617484e-05
1451,2.1363319288357161,0.0003551528207026422,38.833347320556641,2,11046,38,42,1,0.13147670030593872,0.014681696891784668,8.4638595581054688e-06,637,4.80926123123051e-05
1452,2.1366470509383362,0.00031512210262008011,42.656848907470703,2,11046,38,42,1,0.13596451282501221,0.027477383613586426,4.3272972106933594e-05,353,2.5531373751028702e-05
1453,2.136933927424252,0.00028687648591585457,45.758411407470703,2,11046,38,42,1,0.13448202610015869,0.025895774364471436,4.76837158203125e-05,221,1.3980828914408779e-05
1454,2.1372013590589631,0.00026743163471110165,49.027721405029297,2,11046,38,42,1,0.12604814767837524,0.013758182525634766,8.4638595581054688e-06,188,1.0648322792096512e-05
1455,2.1374509575834963,0.00024959852453321218,53.284217834472656,2,11046,38,42,1,0.11515122652053833,0.024294614791870117,3.7491321563720703e-05,190,1.0110747202406146e-05
1456,2.1376806174521334,0.00022965986863709986,58.454883575439453,2,11046,38,42,1,0.10782831907272339,0.023743391036987305,4.4167041778564453e-05,174,8.4904413290000597e-06
1457,2.1378899625997292,0.00020934514759574085,63.686721801757812,2,11046,38,42,1,0.10538685321807861,0.013172149658203125,1.0073184967041016e-05,129,5.8661917465005391e-06
