accepted_step,time_s,dt_s,maximum_velocity_m_per_s,axis,face,x,y,z,manifold_max,manifold_p95,manifold_p50,tail_cells,tail_drained_m3
1,0.0016462659696117043,0.0016462659696117043,0.16540423035621643,2,1168,24,22,0,0.0096801519393920898,1.1920928955078125e-07,1.1920928955078125e-07,0,0
2,0.0032925319392234087,0.0016462659696117043,0.3704243004322052,2,1168,24,22,0,0.017024397850036621,1.1920928955078125e-07,1.1920928955078125e-07,0,0
3,0.004938797908835113,0.0016462659696117043,0.4668445885181427,2,1168,24,22,0,0.018282175064086914,1.1920928955078125e-07,1.1920928955078125e-07,0,0
4,0.0065850638784468174,0.0016462659696117043,0.4128536581993103,2,1168,24,22,0,0.014499902725219727,3.5762786865234375e-07,1.1920928955078125e-07,0,0
5,0.0082313298480585217,0.0016462659696117043,0.30022186040878296,2,1168,24,22,0,0.013223171234130859,3.5762786865234375e-07,1.1920928955078125e-07,0,0
6,0.0098775958176702261,0.0016462659696117043,0.25237664580345154,2,1532,24,29,0,0.016312897205352783,3.5762786865234375e-07,1.1920928955078125e-07,0,0
7,0.01152386178728193,0.0016462659696117043,0.29939410090446472,2,1532,24,29,0,0.018809378147125244,3.5762786865234375e-07,1.1920928955078125e-07,0,0
8,0.013170127756893635,0.0016462659696117043,0.36121141910552979,2,1532,24,29,0,0.01620858907699585,3.5762786865234375e-07,1.1920928955078125e-07,0,0
9,0.014816393726505339,0.0016462659696117043,0.34068486094474792,2,1168,24,22,0,0.016625463962554932,3.5762786865234375e-07,1.1920928955078125e-07,0,0
10,0.016462659696117043,0.0016462659696117043,0.40443804860115051,2,1377,25,26,0,0.021714150905609131,3.5762786865234375e-07,1.1920928955078125e-07,0,0
11,0.018108925665728748,0.0016462659696117043,0.40813732147216797,2,1325,25,25,0,0.025141716003417969,3.5762786865234375e-07,1.1920928955078125e-07,0,0
12,0.019755191635340452,0.0016462659696117043,0.27054059505462646,2,1325,25,25,0,0.019382297992706299,3.5762786865234375e-07,1.1920928955078125e-07,0,0
13,0.021401457604952157,0.0016462659696117043,0.20422759652137756,2,1168,24,22,0,0.01704108715057373,3.5762786865234375e-07,1.1920928955078125e-07,0,0
14,0.023047723574563861,0.0016462659696117043,0.30495879054069519,2,1584,24,30,0,0.017142772674560547,3.5762786865234375e-07,1.1920928955078125e-07,0,0
15,0.024693989544175565,0.0016462659696117043,0.4366229772567749,2,1326,26,25,0,0.029726147651672363,3.5762786865234375e-07,1.1920928955078125e-07,0,0
16,0.02634025551378727,0.0016462659696117043,0.46589118242263794,2,1326,26,25,0,0.033507943153381348,3.5762786865234375e-07,1.1920928955078125e-07,0,0
17,0.027986521483398974,0.0016462659696117043,0.31759446859359741,2,1326,26,25,0,0.022812247276306152,3.5762786865234375e-07,1.1920928955078125e-07,0,0
18,0.029632787453010678,0.0016462659696117043,0.25108474493026733,2,1277,29,24,0,0.014272451400756836,3.5762786865234375e-07,1.1920928955078125e-07,0,0
19,0.031279053422622383,0.0016462659696117043,0.40677320957183838,2,1168,24,22,0,0.017601251602172852,3.5762786865234375e-07,1.1920928955078125e-07,0,0
20,0.032925319392234087,0.0016462659696117043,0.50571483373641968,2,1168,24,22,0,0.027521491050720215,3.5762786865234375e-07,1.1920928955078125e-07,0,0
21,0.034571585361845791,0.0016462659696117043,0.43655404448509216,2,1168,24,22,0,0.023581206798553467,3.5762786865234375e-07,1.1920928955078125e-07,0,0
22,0.036217851331457496,0.0016462659696117043,0.23229445517063141,2,1328,28,25,0,0.013967633247375488,3.5762786865234375e-07,1.1920928955078125e-07,0,0
23,0.0378641173010692,0.0016462659696117043,0.29880139231681824,2,1221,25,23,0,0.021532654762268066,3.5762786865234375e-07,1.1920928955078125e-07,0,0
24,0.039510383270680904,0.0016462659696117043,0.24901282787322998,2,1221,25,23,0,0.019662201404571533,3.5762786865234375e-07,1.1920928955078125e-07,0,0
25,0.041156649240292609,0.0016462659696117043,0.16874097287654877,1,1222,26,23,0,0.011740446090698242,3.5762786865234375e-07,1.1920928955078125e-07,0,0
26,0.042802915209904313,0.0016462659696117043,0.32540971040725708,2,1116,24,21,0,0.0099364519119262695,4.76837158203125e-07,1.1920928955078125e-07,0,0
27,0.044449181179516017,0.0016462659696117043,0.30784550309181213,2,1116,24,21,0,0.015486836433410645,3.5762786865234375e-07,1.1920928955078125e-07,0,0
28,0.046095447149127722,0.0016462659696117043,0.25167387723922729,2,1222,26,23,0,0.02034461498260498,3.5762786865234375e-07,1.1920928955078125e-07,0,0
29,0.047741713118739426,0.0016462659696117043,0.26188898086547852,1,1220,24,23,0,0.01572418212890625,4.76837158203125e-07,1.1920928955078125e-07,0,0
30,0.04938797908835113,0.0016462659696117043,0.2681143581867218,1,1220,24,23,0,0.012973904609680176,3.5762786865234375e-07,1.1920928955078125e-07,0,0
