accepted_step,time_s,dt_s,maximum_velocity_m_per_s,axis,face,x,y,z,manifold_max,manifold_p95,manifold_p50,tail_cells,tail_drained_m3
1,0.0016462659696117043,0.0016462659696117043,0.10371984541416168,2,3648,36,42,0,0.010556578636169434,1.1920928955078125e-07,1.1920928955078125e-07,0,0
2,0.0032925319392234087,0.0016462659696117043,0.22738368809223175,2,4174,46,48,0,0.018152952194213867,1.1920928955078125e-07,1.1920928955078125e-07,0,0
3,0.004938797908835113,0.0016462659696117043,0.28190183639526367,2,4174,46,48,0,0.019367575645446777,1.1920928955078125e-07,1.1920928955078125e-07,0,0
4,0.0065850638784468174,0.0016462659696117043,0.24254997074604034,2,3221,39,37,0,0.015319228172302246,1.7881393432617188e-07,1.1920928955078125e-07,0,0
5,0.0082313298480585217,0.0016462659696117043,0.20422334969043732,0,3691,37,42,0,0.014229178428649902,1.7881393432617188e-07,1.1920928955078125e-07,0,0
6,0.0098775958176702261,0.0016462659696117043,0.18091513216495514,0,3778,37,43,0,0.014660120010375977,1.7881393432617188e-07,1.1920928955078125e-07,0,0
7,0.01152386178728193,0.0016462659696117043,0.20768812298774719,2,3306,38,38,0,0.016163051128387451,2.9802322387695312e-07,1.1920928955078125e-07,0,0
8,0.013170127756893635,0.0016462659696117043,0.26450622081756592,2,4080,38,47,0,0.01322484016418457,3.5762786865234375e-07,1.1920928955078125e-07,0,0
9,0.014816393726505339,0.0016462659696117043,0.26074987649917603,2,3315,47,38,0,0.013408482074737549,3.5762786865234375e-07,1.1920928955078125e-07,0,0
10,0.016462659696117043,0.0016462659696117043,0.18939946591854095,2,4089,47,47,0,0.017099738121032715,3.5762786865234375e-07,1.1920928955078125e-07,0,0
11,0.018108925665728748,0.0016462659696117043,0.18047285079956055,2,3566,40,41,0,0.014737486839294434,3.5762786865234375e-07,1.1920928955078125e-07,0,0
12,0.019755191635340452,0.0016462659696117043,0.23997500538825989,2,3741,43,43,0,0.018585920333862305,3.5762786865234375e-07,1.1920928955078125e-07,0,0
13,0.021401457604952157,0.0016462659696117043,0.29045951366424561,2,3741,43,43,0,0.023412227630615234,3.5762786865234375e-07,1.1920928955078125e-07,0,0
14,0.023047723574563861,0.0016462659696117043,0.28041395545005798,2,3741,43,43,0,0.024571478366851807,3.5762786865234375e-07,1.1920928955078125e-07,0,0
15,0.024693989544175565,0.0016462659696117043,0.20057149231433868,2,3741,43,43,0,0.019107222557067871,3.5762786865234375e-07,1.1920928955078125e-07,0,0
16,0.02634025551378727,0.0016462659696117043,0.10364112257957458,2,11136,42,43,1,0.013403534889221191,3.5762786865234375e-07,1.1920928955078125e-07,0,0
17,0.027986521483398974,0.0016462659696117043,0.1142304390668869,2,3826,42,44,0,0.013134598731994629,3.5762786865234375e-07,1.1920928955078125e-07,0,0
18,0.029632787453010678,0.0016462659696117043,0.2528003454208374,2,3740,42,43,0,0.02411651611328125,3.5762786865234375e-07,1.1920928955078125e-07,0,0
19,0.031279053422622383,0.0016462659696117043,0.33335772156715393,2,3740,42,43,0,0.033393383026123047,3.5762786865234375e-07,1.1920928955078125e-07,0,0
20,0.032925319392234087,0.0016462659696117043,0.31683248281478882,2,3654,42,42,0,0.032597780227661133,3.5762786865234375e-07,1.1920928955078125e-07,0,0
21,0.034571585361845791,0.0016462659696117043,0.23944579064846039,2,3734,36,43,0,0.02111363410949707,3.5762786865234375e-07,1.1920928955078125e-07,0,0
22,0.036217851331457496,0.0016462659696117043,0.15751883387565613,2,3306,38,38,0,0.018666267395019531,3.5762786865234375e-07,1.1920928955078125e-07,0,0
23,0.0378641173010692,0.0016462659696117043,0.18319322168827057,0,3691,37,42,0,0.01821601390838623,3.5762786865234375e-07,1.1920928955078125e-07,0,0
24,0.039510383270680904,0.0016462659696117043,0.21664322912693024,2,3655,43,42,0,0.024786591529846191,3.5762786865234375e-07,1.1920928955078125e-07,0,0
25,0.041156649240292609,0.0016462659696117043,0.24837303161621094,2,4080,38,47,0,0.023762285709381104,3.5762786865234375e-07,1.1920928955078125e-07,0,0
