accepted_step,time_s,dt_s,maximum_velocity_m_per_s,axis,face,x,y,z,manifold_max,manifold_p95,manifold_p50,tail_cells,tail_drained_m3
1,0.0016462659696117043,0.0016462659696117043,0.12931376695632935,2,2725,34,39,0,0.010313630104064941,1.1920928955078125e-07,1.1920928955078125e-07,0,0
2,0.0032925319392234087,0.0016462659696117043,0.28773248195648193,2,2659,37,38,0,0.017837047576904297,1.1920928955078125e-07,1.1920928955078125e-07,0,0
3,0.004938797908835113,0.0016462659696117043,0.35816061496734619,2,2659,37,38,0,0.018983602523803711,1.1920928955078125e-07,1.1920928955078125e-07,0,0
4,0.0065850638784468174,0.0016462659696117043,0.3095964789390564,2,2659,37,38,0,0.015125274658203125,1.7881393432617188e-07,1.1920928955078125e-07,0,0
5,0.0082313298480585217,0.0016462659696117043,0.25081831216812134,1,2725,34,39,0,0.01385653018951416,3.5762786865234375e-07,1.1920928955078125e-07,0,0
6,0.0098775958176702261,0.0016462659696117043,0.21784582734107971,1,2725,34,39,0,0.015035450458526611,2.9802322387695312e-07,1.1920928955078125e-07,0,0
7,0.01152386178728193,0.0016462659696117043,0.23889824748039246,2,2659,37,38,0,0.016617298126220703,3.5762786865234375e-07,1.1920928955078125e-07,0,0
8,0.013170127756893635,0.0016462659696117043,0.30917400121688843,2,2725,34,39,0,0.01443028450012207,3.5762786865234375e-07,1.1920928955078125e-07,0,0
9,0.014816393726505339,0.0016462659696117043,0.29834693670272827,2,2653,31,38,0,0.015072941780090332,3.5762786865234375e-07,1.1920928955078125e-07,0,0
10,0.016462659696117043,0.0016462659696117043,0.23986369371414185,2,2448,33,35,0,0.016754567623138428,3.5762786865234375e-07,1.1920928955078125e-07,0,0
11,0.018108925665728748,0.0016462659696117043,0.33226558566093445,2,2380,34,34,0,0.021289944648742676,3.5762786865234375e-07,1.1920928955078125e-07,0,0
12,0.019755191635340452,0.0016462659696117043,0.36375430226325989,2,2380,34,34,0,0.026338517665863037,3.5762786865234375e-07,1.1920928955078125e-07,0,0
13,0.021401457604952157,0.0016462659696117043,0.29223701357841492,2,2380,34,34,0,0.023985862731933594,3.5762786865234375e-07,1.1920928955078125e-07,0,0
14,0.023047723574563861,0.0016462659696117043,0.25911170244216919,2,2660,38,38,0,0.015224933624267578,3.5762786865234375e-07,1.1920928955078125e-07,0,0
15,0.024693989544175565,0.0016462659696117043,0.24698163568973541,2,2660,38,38,0,0.011939406394958496,3.5762786865234375e-07,1.1920928955078125e-07,0,0
16,0.02634025551378727,0.0016462659696117043,0.30858248472213745,2,2380,34,34,0,0.024643898010253906,3.5762786865234375e-07,1.1920928955078125e-07,0,0
17,0.027986521483398974,0.0016462659696117043,0.42254772782325745,2,2380,34,34,0,0.036734342575073242,3.5762786865234375e-07,1.1920928955078125e-07,0,0
18,0.029632787453010678,0.0016462659696117043,0.39312568306922913,2,2380,34,34,0,0.035590171813964844,3.5762786865234375e-07,1.1920928955078125e-07,0,0
19,0.031279053422622383,0.0016462659696117043,0.25658497214317322,2,2725,34,39,0,0.020382165908813477,3.5762786865234375e-07,1.1920928955078125e-07,0,0
20,0.032925319392234087,0.0016462659696117043,0.38594916462898254,2,2725,34,39,0,0.016883134841918945,3.5762786865234375e-07,1.1920928955078125e-07,0,0
21,0.034571585361845791,0.0016462659696117043,0.37455305457115173,2,2725,34,39,0,0.022962093353271484,3.5762786865234375e-07,1.1920928955078125e-07,0,0
22,0.036217851331457496,0.0016462659696117043,0.33098435401916504,2,2380,34,34,0,0.031853735446929932,3.5762786865234375e-07,1.1920928955078125e-07,0,0
23,0.0378641173010692,0.0016462659696117043,0.28319317102432251,2,2380,34,34,0,0.025978624820709229,3.5762786865234375e-07,1.1920928955078125e-07,0,0
