accepted_step,time_s,dt_s,maximum_velocity_m_per_s,axis,face,x,y,z,manifold_max,manifold_p95,manifold_p50,tail_cells,tail_drained_m3,device_ms,wall_ms,owner_identity,owner_commits,owner_projections,owner_r0_iterations,owner_r1_iterations,owner_r2_iterations,owner_actual_working_set_bytes,owner_certified_working_set_bytes,owner_projection_device_ms,owner_nonprojection_device_ms
1,0.0016462659696117043,0.0016462659696117043,0.12915171682834625,2,2725,34,39,0,1.4483928680419922e-05,5.9604644775390625e-08,0,0,0,69400.476540206,70683.196083000003,422363861090393181,68,12,2,2,2,3015917568,5533564928,2252.5240418035537,67147.952498402447
2,0.0032925319392234087,0.0016462659696117043,0.15428166091442108,2,2659,37,38,0,4.7087669372558594e-05,5.9604644775390625e-08,0,0,0,86570.058499462903,88092.833041000005,8960423594437787795,86,15,3,3,3,3016212480,5533564928,2827.9089168645442,83742.149582598358
3,0.004938797908835113,0.0016462659696117043,0.16907502710819244,2,2659,37,38,0,7.6711177825927734e-05,5.9604644775390625e-08,0,0,0,86643.98712432012,88175.631708000001,2692717190900070341,86,15,3,3,3,3016212480,5533564928,2819.6414585690945,83824.345665751025
4,0.0065850638784468174,0.0016462659696117043,0.17861329019069672,2,2659,37,38,0,0.00010895729064941406,5.9604644775390625e-08,0,0,0,86620.209709042683,88143.714000000007,5074069917621556351,86,15,3,3,3,3016212480,5533564928,2826.857125852257,83793.352583190426
5,0.0082313298480585217,0.0016462659696117043,0.18507428467273712,2,2659,37,38,0,0.00014138221740722656,5.9604644775390625e-08,0,0,0,86620.886958902702,88139.637291999999,11969989511970195301,86,15,3,3,3,3016212480,5533564928,2825.2936666831374,83795.593292219564
6,0.0098775958176702261,0.0016462659696117043,0.18956141173839569,2,2659,37,38,0,0.00017404556274414062,5.9604644775390625e-08,0,0,0,86535.441541811451,88057.886708000005,12963597117099613029,86,15,3,3,3,3016212480,5533564928,2821.5240831486881,83713.917458662763
7,0.01152386178728193,0.0016462659696117043,0.19265487790107727,2,2659,37,38,0,0.00020676851272583008,5.9604644775390625e-08,0,0,0,86689.401374664158,88218.704375000001,848436722876577235,86,15,3,3,3,3016212480,5533564928,2832.8974582254887,83856.503916438669
8,0.013170127756893635,0.0016462659696117043,0.19477759301662445,2,2659,37,38,0,0.00023949146270751953,5.9604644775390625e-08,0,0,0,86635.982875945047,88161.376957999993,3341738945381253795,86,15,3,3,3,3016212480,5533564928,2833.6022081784904,83802.380667766556
9,0.014816393726505339,0.0016462659696117043,0.19619107246398926,2,2659,37,38,0,0.00027215480804443359,5.9604644775390625e-08,0,0,0,86695.101666962728,88220.179999999993,7658381605250219167,86,15,3,3,3,3016212480,5533564928,2820.5229577142745,83874.578709248453
10,0.016462659696117043,0.0016462659696117043,0.19705566763877869,2,2659,37,38,0,0.00030505657196044922,5.9604644775390625e-08,0,0,0,74811.867040814832,76159.501417000007,17565424693717265751,74,13,2,2,3,3016015872,5533564928,2449.4836663361639,72362.383374478668
11,0.018108925665728748,0.0016462659696117043,0.19748370349407196,2,2659,37,38,0,0.00033777952194213867,5.9604644775390625e-08,0,0,0,74780.237708706409,76128.192959000007,5184080853670884995,74,13,2,2,3,3016015872,5533564928,2444.3461671471596,72335.891541559249
12,0.019755191635340452,0.0016462659696117043,0.19756114482879639,2,2659,37,38,0,0.00037038326263427734,5.9604644775390625e-08,0,0,0,74825.857875635847,76183.698082999996,10628853057942589985,74,13,2,2,3,3016015872,5533564928,2439.8745421785861,72385.983333457261
13,0.021401457604952157,0.0016462659696117043,0.19735218584537506,2,2659,37,38,0,0.0004031062126159668,5.9604644775390625e-08,0,0,0,74723.848500987515,76064.631959000006,3960309604443670313,74,13,2,2,3,3016015872,5533564928,2444.6835846174508,72279.164916370064
14,0.023047723574563861,0.0016462659696117043,0.19690728187561035,2,2659,37,38,0,0.00043570995330810547,5.9604644775390625e-08,0,0,0,74774.779874598607,76110.903208000003,277504193380797479,74,13,2,2,3,3016015872,5533564928,2455.8109999634326,72318.968874635175
15,0.024693989544175565,0.0016462659696117043,0.19626599550247192,2,2659,37,38,0,0.00046831369400024414,5.9604644775390625e-08,0,0,0,74765.034416923299,76101.542499999996,3256759676585885497,74,13,2,2,3,3016015872,5533564928,2444.1167088225484,72320.917708100751
16,0.02634025551378727,0.0016462659696117043,0.19546021521091461,2,2659,37,38,0,0.00050091743469238281,5.9604644775390625e-08,0,0,0,74780.402206117287,76112.491915999999,2391013121957153887,74,13,2,2,3,3016015872,5533564928,2449.0579997655004,72331.344206351787
17,0.027986521483398974,0.0016462659696117043,0.19451293349266052,2,2659,37,38,0,0.00053334236145019531,5.9604644775390625e-08,0,0,0,74805.372373899445,76150.341708000007,8857544343763160347,74,13,2,2,3,3016146944,5533564928,2443.5535001102835,72361.818873789161
18,0.029632787453010678,0.0016462659696117043,0.19344562292098999,2,2659,37,38,0,0.00056844949722290039,5.9604644775390625e-08,0,0,0,74660.682333633304,75997.519209000006,7613414010463962073,74,13,2,2,3,3016015872,5533564928,2442.4560000188649,72218.226333614439
19,0.031279053422622383,0.0016462659696117043,0.19227264821529388,2,2659,37,38,0,0.00060510635375976562,5.9604644775390625e-08,0,0,0,74803.67175093852,76141.917457999996,13381322169596379143,74,13,2,2,3,3016015872,5533564928,2451.9023743923753,72351.769376546144
20,0.032925319392234087,0.0016462659696117043,0.19100779294967651,2,2659,37,38,0,0.00064235925674438477,5.9604644775390625e-08,0,0,0,74768.03541672416,76106.879040999993,9885536498702255069,74,13,2,2,3,3016015872,5533564928,2449.92341613397,72318.11200059019
21,0.034571585361845791,0.0016462659696117043,0.18966178596019745,2,2659,37,38,0,0.00068008899688720703,5.9604644775390625e-08,0,0,0,74834.633708000183,76176.602834000005,9357214990593429501,74,13,2,2,3,3016015872,5533564928,2440.1302915066481,72394.503416493535
22,0.036217851331457496,0.0016462659696117043,0.18824183940887451,2,2659,37,38,0,0.0007184147834777832,5.9604644775390625e-08,0,0,0,74804.439292056486,76140.568832999998,1311883927310526141,74,13,2,2,3,3016015872,5533564928,2458.2371248397976,72346.202167216688
23,0.0378641173010692,0.0016462659696117043,0.18675491213798523,2,2659,37,38,0,0.00075733661651611328,5.9604644775390625e-08,0,0,0,74812.169791664928,76151.137333999999,2367483641593547161,74,13,2,2,3,3016015872,5533564928,2455.6531249545515,72356.516666710377
24,0.039510383270680904,0.0016462659696117043,0.18520702421665192,2,2659,37,38,0,0.00079697370529174805,5.9604644775390625e-08,0,0,0,74866.767041850835,76206.345874999999,16025095223718882089,74,13,2,2,3,3016015872,5533564928,2451.1635827366263,72415.603459114209
25,0.041156649240292609,0.0016462659696117043,0.18360202014446259,2,2659,37,38,0,0.00083726644515991211,5.9604644775390625e-08,0,0,0,74781.313874060288,76120.708165999997,4379886313245599655,74,13,2,2,3,3016015872,5533564928,2446.7566248495132,72334.557249210775
26,0.042802915209904313,0.0016462659696117043,0.18194150924682617,2,2659,37,38,0,0.00087833404541015625,5.9604644775390625e-08,0,0,0,74910.901666851714,76249.037165999995,10382668715667759445,74,13,2,2,3,3016015872,5533564928,2450.6953333038837,72460.206333547831
27,0.044449181179516017,0.0016462659696117043,0.18023167550563812,2,2659,37,38,0,0.00092017650604248047,5.9604644775390625e-08,0,0,0,74765.537166036665,76100.673916999993,9225275821538399047,74,13,2,2,3,3016015872,5533564928,2443.8327080570161,72321.704457979649
28,0.046095447149127722,0.0016462659696117043,0.17847231030464172,2,2659,37,38,0,0.00089776515960693359,5.9604644775390625e-08,0,0,0,74701.469125691801,76043.835540999993,3311843769993489849,74,13,2,2,3,3016015872,5533564928,2445.0382082723081,72256.430917419493
29,0.047741713118739426,0.0016462659696117043,0.17666482925415039,2,2659,37,38,0,0.00090795755386352539,5.9604644775390625e-08,0,0,0,74872.408165596426,76210.886041000005,6597644579580312679,74,13,2,2,3,3016015872,5533564928,2458.5720002651215,72413.836165331304
30,0.04938797908835113,0.0016462659696117043,0.17481236159801483,2,2659,37,38,0,0.00089997053146362305,5.9604644775390625e-08,0,0,0,74903.232416370884,76244.252416999996,8736153178828846525,74,13,2,2,3,3016015872,5533564928,2452.052416279912,72451.180000090972
31,0.051034245057962835,0.0016462659696117043,0.17291352152824402,2,2659,37,38,0,0.00094145536422729492,5.9604644775390625e-08,0,0,0,74929.001123644412,76271.893582999997,7974368360452298463,74,13,2,2,3,3016015872,5533564928,2450.5832078866661,72478.417915757746
32,0.052680511027574539,0.0016462659696117043,0.17097154259681702,2,2659,37,38,0,0.00067555904388427734,5.9604644775390625e-08,0,0,0,75013.779500266537,76353.303125000006,12658943607550838297,74,13,2,2,3,3016015872,5533564928,2456.2655834015459,72557.513916864991
33,0.054326776997186244,0.0016462659696117043,0.16898517310619354,2,2659,37,38,0,0.00069755315780639648,5.9604644775390625e-08,0,0,0,74848.470167955384,76191.493667000002,4261539256828734535,74,13,2,2,3,3016015872,5533564928,2450.0426251906902,72398.427542764693
34,0.055973042966797948,0.0016462659696117043,0.16695626080036163,2,2659,37,38,0,0.00071978569030761719,5.9604644775390625e-08,0,0,0,74865.290333284065,76205.873917000004,1728024371860168273,74,13,2,2,3,3016015872,5533564928,2444.7932501789182,72420.497083105147
35,0.057619308936409652,0.0016462659696117043,0.16488371789455414,2,2659,37,38,0,0.00074815750122070312,5.9604644775390625e-08,0,0,0,74814.483833499253,76156.304208000001,14209444337320252287,74,13,2,2,3,3016015872,5533564928,2449.8187084682286,72364.665125031024
36,0.059265574906021357,0.0016462659696117043,0.16276903450489044,2,2659,37,38,0,0.00078874826431274414,5.9604644775390625e-08,0,0,0,74610.267999349162,75952.316959000003,15381580286520139507,74,13,2,2,3,3016015872,5533564928,2443.9485005568713,72166.319498792291
37,0.060911840875633061,0.0016462659696117043,0.16061154007911682,2,2659,37,38,0,0.00083076953887939453,5.9604644775390625e-08,0,0,0,74922.729415120557,76263.872166999994,7549643982903041605,74,13,2,2,3,3016146944,5533564928,2452.2261668462306,72470.503248274326
