scope,source,case_record_sha256,owner_identity,stage,phase,raw_iteration_tag,iteration,trace_index,axis,face,column_z,side,provisional_momentum_kg_m-2_s-1,projected_velocity_m_s-1,projected_momentum_kg_m-2_s-1,shared_alpha,delta_reference_trace_index,delta_previous_provisional_momentum_kg_m-2_s-1,delta_previous_projected_velocity_m_s-1,delta_previous_projected_momentum_kg_m-2_s-1,local_convergence_enclosure
diagnostic_only,r201_qualified_metal_fixture_no_checkpoint,e5f8136c3ef7f5c05b19f06194bb4793c6a60975d041e3f9408dfe6b70961486,17359917141162959369,R0,bootstrap,4294967295,0,0,0,12,0,0,0,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
diagnostic_only,r201_qualified_metal_fixture_no_checkpoint,e5f8136c3ef7f5c05b19f06194bb4793c6a60975d041e3f9408dfe6b70961486,17359917141162959369,R0,bootstrap,4294967295,0,0,1,10,0,0,0,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
diagnostic_only,r201_qualified_metal_fixture_no_checkpoint,e5f8136c3ef7f5c05b19f06194bb4793c6a60975d041e3f9408dfe6b70961486,17359917141162959369,R0,bootstrap,4294967295,0,0,0,13,0,1,0,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
diagnostic_only,r201_qualified_metal_fixture_no_checkpoint,e5f8136c3ef7f5c05b19f06194bb4793c6a60975d041e3f9408dfe6b70961486,17359917141162959369,R0,bootstrap,4294967295,0,0,1,14,0,1,0,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
diagnostic_only,r201_qualified_metal_fixture_no_checkpoint,e5f8136c3ef7f5c05b19f06194bb4793c6a60975d041e3f9408dfe6b70961486,17359917141162959369,R0,bootstrap,4294967295,0,0,0,32,1,0,0,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
diagnostic_only,r201_qualified_metal_fixture_no_checkpoint,e5f8136c3ef7f5c05b19f06194bb4793c6a60975d041e3f9408dfe6b70961486,17359917141162959369,R0,bootstrap,4294967295,0,0,1,30,1,0,0,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
diagnostic_only,r201_qualified_metal_fixture_no_checkpoint,e5f8136c3ef7f5c05b19f06194bb4793c6a60975d041e3f9408dfe6b70961486,17359917141162959369,R0,bootstrap,4294967295,0,0,0,33,1,1,0,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
diagnostic_only,r201_qualified_metal_fixture_no_checkpoint,e5f8136c3ef7f5c05b19f06194bb4793c6a60975d041e3f9408dfe6b70961486,17359917141162959369,R0,bootstrap,4294967295,0,0,1,34,1,1,0,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
diagnostic_only,r201_qualified_metal_fixture_no_checkpoint,e5f8136c3ef7f5c05b19f06194bb4793c6a60975d041e3f9408dfe6b70961486,17359917141162959369,R0,bootstrap,4294967295,0,0,0,52,2,0,0,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
diagnostic_only,r201_qualified_metal_fixture_no_checkpoint,e5f8136c3ef7f5c05b19f06194bb4793c6a60975d041e3f9408dfe6b70961486,17359917141162959369,R0,bootstrap,4294967295,0,0,1,50,2,0,0,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
