accepted_step,time_s,dt_s,maximum_velocity_m_per_s,axis,face,x,y,z,manifold_max,manifold_p95,manifold_p50,tail_cells,tail_drained_m3,device_ms,wall_ms,owner_identity,owner_commits,owner_projections,owner_r0_iterations,owner_r1_iterations,owner_r2_iterations,owner_actual_working_set_bytes,owner_certified_working_set_bytes,owner_projection_device_ms,owner_nonprojection_device_ms,intermediate_seal_format,intermediate_digest_version,payload_digest_format,payload_digest_version,qualified_kernel_set_sha256,input_payload_root_sha256,publication_payload_root_sha256,publication_payload_bytes
1,0.0016462659696117043,0.0016462659696117043,0.12915171682834625,2,2725,34,39,0,1.4483928680419922e-05,5.9604644775390625e-08,0,0,0,2549.5176243130118,3790.6465830000002,6595963005543842725,68,12,2,2,2,3015917568,5584011264,117.94141633436084,2431.5762079786509,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,fed58566caf6a669e9a47f042123c206dce427d4d402cf8f82dcb1f48844f341,8d706581dc02ea40739ceb147ff1bc8fa0f5c1f4de705b4fd8ea10da12d640ed,ff414f915e4242442ad52d942345925b703c1d15923a293d9f1d2e31c2d0cfd1,93556764
2,0.0032925319392234087,0.0016462659696117043,0.15428166091442108,2,2659,37,38,0,4.7087669372558594e-05,5.9604644775390625e-08,0,0,0,3155.7957916520536,4619.5059170000004,12767193507821324487,86,15,3,3,3,3016212480,5584011264,135.41733403690159,3020.378457615152,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,fed58566caf6a669e9a47f042123c206dce427d4d402cf8f82dcb1f48844f341,cacda6a5a7548754d19d8e6df1fe8e90a01c05a80508f364d9282a88cb968559,3a4cb9ab393e9395928afb007aa7a32f7852238cbf25a893b4d754cf7d8d46aa,93556764
3,0.004938797908835113,0.0016462659696117043,0.16907502710819244,2,2659,37,38,0,7.6711177825927734e-05,5.9604644775390625e-08,0,0,0,3156.0091264545918,4629.6849579999998,5166631406016365777,86,15,3,3,3,3016212480,5584011264,135.96445834264159,3020.0446681119502,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,fed58566caf6a669e9a47f042123c206dce427d4d402cf8f82dcb1f48844f341,bf85a613b8fcf2645d70e918d48bfa8d047c54d479dacf23b2e8a44f5527bac7,60687bb6d6e4c3e8946f8f551079f58bdb477a8e6ad16032375105d465dc6a6d,93556764
4,0.0065850638784468174,0.0016462659696117043,0.17861329019069672,2,2659,37,38,0,0.00010895729064941406,5.9604644775390625e-08,0,0,0,3153.8032083772123,4613.3202499999998,8797290214862851779,86,15,3,3,3,3016212480,5584011264,136.82808331213892,3016.9751250650734,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,fed58566caf6a669e9a47f042123c206dce427d4d402cf8f82dcb1f48844f341,9eb60f1007c83d85ceca73c458cc30134447259c28c0a95603b366959a8b4fd8,cdcb03d6e82630d71e2748d671b55a29ae5cd93f58f2e8cc74084ee6f0b9b19f,93556764
5,0.0082313298480585217,0.0016462659696117043,0.18507428467273712,2,2659,37,38,0,0.00014138221740722656,5.9604644775390625e-08,0,0,0,3167.8403753321618,4625.7595419999998,7628333881709819669,86,15,3,3,3,3016212480,5584011264,137.29812507517636,3030.5422502569854,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,fed58566caf6a669e9a47f042123c206dce427d4d402cf8f82dcb1f48844f341,411ad64ad2aa4c8c7b11598779db92487c99041709c3747fdf69ff894cfe033b,2160eb361a2deb6a03e22cf93eff10b0d3679574466d61c0a143b0b618932514,93556764
6,0.0098775958176702261,0.0016462659696117043,0.18956141173839569,2,2659,37,38,0,0.00017404556274414062,5.9604644775390625e-08,0,0,0,3153.5109179094434,4610.8715840000004,11559012863306541801,86,15,3,3,3,3016212480,5584011264,135.75449935160577,3017.7564185578376,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,fed58566caf6a669e9a47f042123c206dce427d4d402cf8f82dcb1f48844f341,bc5deb82b1d5ad3eca589e79a5d9fc8c1e35460a949ee2c0378d45076dd25af3,46d824842a98eff58ae740e066cd8062e527e0de48ac09fdf138b54a66feeb12,93556764
7,0.01152386178728193,0.0016462659696117043,0.19265487790107727,2,2659,37,38,0,0.00020676851272583008,5.9604644775390625e-08,0,0,0,3151.9245423842221,4625.2072079999998,1118627786488148375,86,15,3,3,3,3016212480,5584011264,134.55866673029959,3017.3658756539226,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,fed58566caf6a669e9a47f042123c206dce427d4d402cf8f82dcb1f48844f341,c1da8a7d88cad02617ba1b084a2377bf0add0fc0a9927124bdf266b47d7461d2,bebf932073446169a5f42cdb9f4223cf4f9f630eb6efacafb4e26b0369ce81cb,93556764
8,0.013170127756893635,0.0016462659696117043,0.19477759301662445,2,2659,37,38,0,0.00023949146270751953,5.9604644775390625e-08,0,0,0,3169.2147492431104,4646.7767089999998,17694701037062425951,86,15,3,3,3,3016212480,5584011264,137.09670724347234,3032.1180419996381,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,fed58566caf6a669e9a47f042123c206dce427d4d402cf8f82dcb1f48844f341,35c589aa160d2673609f4537f489b29d02cf263e3848bf36596271a75308a6f7,ac91d017cab508eee855b041e90d70ba743876390ea08bde75eb438ecbf38f87,93556764
9,0.014816393726505339,0.0016462659696117043,0.19619107246398926,2,2659,37,38,0,0.00027215480804443359,5.9604644775390625e-08,0,0,0,3156.537750037387,4649.2910830000001,15430065166839283495,86,15,3,3,3,3016212480,5584011264,134.94804129004478,3021.5897087473422,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,fed58566caf6a669e9a47f042123c206dce427d4d402cf8f82dcb1f48844f341,d1df66fb940f39f3fc49e1e01e4318ddd091db82ef412007cabde9e6128b3f91,7c63f0600aab15d88cc6a831b56ee702918973a5a3b77e6c589bb130f73e7c9c,93556764
10,0.016462659696117043,0.0016462659696117043,0.19705566763877869,2,2659,37,38,0,0.00030505657196044922,5.9604644775390625e-08,0,0,0,2724.7120852116495,4040.1685419999999,18029681182131545439,74,13,2,2,3,3016015872,5584011264,115.83187454380095,2608.8802106678486,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,fed58566caf6a669e9a47f042123c206dce427d4d402cf8f82dcb1f48844f341,79a6666725848e3042c64a41f38ca55e1c0daa92570909ba8de8a6df06106071,8471d2c753592446f9bb77809aa20e512d95cf2d5ba20ddd23a6db2199a4ae82,93556764
