accepted_step,time_s,dt_s,maximum_velocity_m_per_s,axis,face,x,y,z,manifold_max,manifold_p95,manifold_p50,tail_cells,tail_drained_m3,device_ms,wall_ms,owner_identity,owner_commits,owner_projections,owner_r0_iterations,owner_r1_iterations,owner_r2_iterations,owner_actual_working_set_bytes,owner_certified_working_set_bytes,owner_projection_device_ms,owner_nonprojection_device_ms,intermediate_seal_format,intermediate_digest_version,payload_digest_format,payload_digest_version,qualified_kernel_set_sha256,input_payload_root_sha256,publication_payload_root_sha256,publication_payload_bytes
1301,2.1096706851385534,0.0016462659696117043,8.0655908584594727,2,149970,33,34,31,0.010240077972412109,1.6689300537109375e-06,0,0,0,16744.789042510092,18692.793249999999,9205599846180445409,126,27,5,3,5,3016704000,5584011264,266.08475018292665,16478.704292327166,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,fed58566caf6a669e9a47f042123c206dce427d4d402cf8f82dcb1f48844f341,3627db7b0e166329d097b3ef7a396aec0a0dfcf841b18c0e759f97c7127d3b3e,a610e8005d2df26436014e2292d02edb9b36c1c1c63688de9df21863bb75c684,93556764
1302,2.1113169511081651,0.0016462659696117043,8.2444791793823242,2,149970,33,34,31,0.010830283164978027,1.6689300537109375e-06,0,0,0,17587.395999813452,19566.773125,3509881720126760507,132,28,5,3,6,3016851456,5584011264,274.24599998630583,17313.149999827147,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,fed58566caf6a669e9a47f042123c206dce427d4d402cf8f82dcb1f48844f341,d9821fab5c74d533ae3a5c936827c6677848c5e37ea0cb80595f76f42457e689,c6a30f7a7d3610167852c80cb0278b2243f6501547daa2af4ef1de9415eef9c5,93556764
1303,2.1129632170777768,0.0016462659696117043,8.2610654830932617,2,149970,33,34,31,0.011062145233154297,1.6689300537109375e-06,0,0,0,16945.534584345296,18806.778957999999,3645811240838658885,126,27,5,3,5,3016704000,5584011264,271.89479139633477,16673.639792948961,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,fed58566caf6a669e9a47f042123c206dce427d4d402cf8f82dcb1f48844f341,70d3fb10f966930c8b3229b6721124c800fe21292c5f73c1578176105c14c452,9bad20e828da84c0449f67d51a9eb867a2436acc91b356d2df24ffd37f59dbfb,93556764
1304,2.1146094830473885,0.0016462659696117043,8.11199951171875,2,149970,33,34,31,0.010881185531616211,1.6689300537109375e-06,0,0,0,17668.265999760479,19623.952249999998,12988718779221789385,132,28,5,3,6,3016851456,5584011264,284.81520805507898,17383.4507917054,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,fed58566caf6a669e9a47f042123c206dce427d4d402cf8f82dcb1f48844f341,59daf27b8957da1c68444462b7c19eed21b33792fcfcd923b0d72da08150306c,5148e3d8e34c6a089047fa84d5c4120881adcd996eec1191e7f85424b5867b14,93556764
1305,2.1162557490170002,0.0016462659696117043,7.8121609687805176,2,149970,33,34,31,0.01064610481262207,1.6689300537109375e-06,0,0,0,16773.129416164011,18640.000542000002,6524274351205927729,126,27,5,3,5,3016704000,5584011264,267.84749887883663,16505.281917285174,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,fed58566caf6a669e9a47f042123c206dce427d4d402cf8f82dcb1f48844f341,18d193972d28e01a7e3fc34dadab350560403ef90a80b4c29a27ff6945e74fdc,a5e839fe93eced2e19a732d5dc0693e72e1f197a66684cb3399195751932b403,93556764
1306,2.1179020149866119,0.0016462659696117043,7.3904986381530762,2,149970,33,34,31,0.0097957849502563477,1.6689300537109375e-06,0,0,0,16960.343081969768,18831.941999999999,17130734218885192897,126,27,3,5,5,3016704000,5584011264,272.37041643820703,16687.972665531561,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,fed58566caf6a669e9a47f042123c206dce427d4d402cf8f82dcb1f48844f341,2d5cf646eb8279bb13a73365d5a25cc49b58fe2197c13267fe8c698b3d1dd4a4,711c4c57602d0d2d2112ddaa43d3f4890f0bcd93d32c3e1f0ef6e483bb4021bf,93556764
1307,2.1195482809562236,0.0016462659696117043,7.2079834938049316,2,183159,33,32,38,0.0088362693786621094,1.7285346984863281e-06,0,0,0,16674.224541522563,18572.558874999999,3237156939253459217,126,27,5,3,5,3016704000,5584011264,273.38333264924586,16400.841208873317,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,fed58566caf6a669e9a47f042123c206dce427d4d402cf8f82dcb1f48844f341,ce835e9409ade48d774fdbe3836915a1e034dfce39dffc91ea9423a424425bcd,423c6ad5cc5657e7313d69a1aae071beabe0e17a7a421ffe6ca64b010a609fba,93556764
1308,2.1211945469258353,0.0016462659696117043,7.2320051193237305,2,183159,33,32,38,0.0091508626937866211,1.7285346984863281e-06,0,0,0,18545.287458924577,20589.140291,5526264981797248991,138,29,5,5,5,3016949760,5584011264,292.63966740109026,18252.647791523486,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,fed58566caf6a669e9a47f042123c206dce427d4d402cf8f82dcb1f48844f341,815bc5e0dd399ecb8ddb6dade20af3e563ff293f7f874d0690199bd6febfffe4,18b88ac4b227acd83d42f4688b0e78001ffac8aefb9250e7b1a2fa7aea3ca8fa,93556764
1309,2.122840812895447,0.0016462659696117043,7.4563999176025391,2,102429,33,35,21,0.0094072818756103516,1.7285346984863281e-06,0,0,0,16780.462917871773,18644.763416000002,6580808936650898817,126,27,5,3,5,3016704000,5584011264,271.70199970714748,16508.760918164626,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,fed58566caf6a669e9a47f042123c206dce427d4d402cf8f82dcb1f48844f341,f25d3051a861691af88fdef762a0105b2d56d618bdc8ae302d3f64ba3a33fda7,36c8c141bdb41389eaa92ac020cdc969d67413b2a69a9b84dbfcdef6889fb9df,93556764
1310,2.1244870788650587,0.0016462659696117043,7.7234973907470703,2,102429,33,35,21,0.0095248222351074219,1.7285346984863281e-06,0,0,0,19561.034832848236,21684.083291999999,7369405657414734027,144,30,5,5,6,3017048064,5584011264,307.97279183752835,19253.062041010708,qualified-kernel-stage-token,2,rise-payload-sha256-merkle,2,fed58566caf6a669e9a47f042123c206dce427d4d402cf8f82dcb1f48844f341,1717bb7d5bfc55de9e5c8ba1f4db97ac8b0cdea757ed49827b07fb5b744e5a14,c22869967872e7bdfdf9b5c24e06a8d17d2d4deb72aeb9b079ab87548ab3cd47,93556764
